电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
大堡礁上的月亮魔咒,19000,134,2006,59,155,自然动物,暂无评分,评分人数不足,,0,1,简介：大堡礁是世界上最大的珊瑚礁，覆盖澳大利亚东北海岸超过2000公里的水域面积。每年的夏天，这里都将上演生命诞生的壮丽奇观：雌性和雄性刺尾鱼以闪电般的速度游向水面产卵；在星光闪闪的夜空下，成千上万的绿海龟同时来到岸边产卵；而高潮是100多种珊瑚在15分钟内一次性全部产卵的罕见景色。,
有病得治,317000,941,14000,466,423,搞笑泡面原创动态漫,暂无评分,评分人数不足,, 全11话,0,26,简介：《有病得治》是一部结合时下年轻人自黑心态，精心打磨的国产IP动画诚意之作。动画汇集了恶搞、吐槽、热血、陪伴等元素，是一部90后风格强烈的后黑风格动画。短小精悍。
势不两立,339000,1073,1152,776,300,都市刑侦,暂无评分,评分人数不足,, 全35集,0,2,简介：张雷是公安烈士的遗孤，他的父亲当年也是一名刑警，在一次行动中英勇牺牲，他的母亲也因悲痛过度，不久重病去世。年幼的张雷被父亲的老战友抚养长大，并把他培养成为一名公安民警。在前往自己妹妹周芸和自己好战友周同订婚宴的路途中，发生了出人意料的枪战，准妹夫周同不幸牺牲。滨海市公安局立即成立了专案组调查此事，张雷被任命为专案组副组长，与老资格的刑警陆延平搭档。层层迷雾摆在眼前，案情由此展开……
大西南剿匪记,898000,7436,3576,3668,888,战争年代,暂无评分,评分人数不足,, 全40集,0,16,简介：《大西南剿匪记》是根据毛泽东特赦的贵州布依族美貌女匪首程莲珍的真实事件改编的。本剧讲述了1950年全国各地解放后，贵州黔东南的土匪依旧占山为王为害百姓，其中以名为郑幺妹的女土匪为首的一伙匪帮，袭击新建的人民政权，杀害无辜乡民，我西南解放大军动用十万兵力对川贵地区进行全面剿匪，土匪帮被大部围歼，郑幺妹潜逃，终被抓获。上报中央后得到毛主席的批示，予以宽大处理。郑幺妹被特赦后感恩戴德，立志洗心革面重新做人，几番上山与残余匪帮谈判促其下山投诚。又带领解放军上山搜剿负隅顽抗的土匪，终于使贵州黔东南一带的土匪被完全...
秦王李世民,2622000,57000,19000,1549,5677,战争古装情感,6.1,109,, 全40集,0,38,简介：隋朝未年，官逼民反，各地掀起了大规模农民起义。隋炀帝自感江山不保，心生与唐国公李渊（岳跃利 饰）和亲之意，他把公主若惜（高圆圆 饰）许与李渊长子李建成（严宽 饰），早已与若惜私定终身的李世民（何润东 饰）与其兄发生分歧。隋炀帝死后，李渊建立大唐帝国，李世民征战有功，被封为秦王，而嫡兄李建成被封为太子。此时宫中形成了两大政治势力，李世民厌恶尔虞我诈的派系斗争，退到一边冷眼观望，养精蓄锐，以图来日宏伟大业。李建成一直视李世民为眼中钉、肉中刺，欲除之而后快。李世民念及手足之情，百般迁就忍让，无奈愈演愈烈的宫廷...
百万美国公主,1385000,13000,69000,2309,7200,人文历史,暂无评分,评分人数不足,, 全3集,1,19,简介：她们是美国最富有的女人，但是这些暴发户成为了纽约社会的弃儿。仅在1890年和1910年之间，四分之一的英国年轻贵族选择与美国的财产继承人结婚。节目再现了这些所谓“美元贵妇”的故事，这些女性率先迎来了20世纪的伟大社会变革。
地球脉动,17573000,263000,809000,49000,78000,自然动物,9.9,3772,, 全11集,6,758,简介：从南极到北极，从赤道到寒带，从非洲草原到热带雨林，再从荒凉峰顶到深邃大海，难以数计的生物以极其绝美的身姿呈现在世人面前。我们看到了Okavango洪水的涨落及其周边赖以生存的动物们的生存状态，看到了罕见的雪豹在漫天大雪中猎食的珍贵画面；看到了冰原上企鹅、北极熊、海豹等生物相互依存的严苛情景，也见识了生活在大洋深处火山口高温环境下的惊奇生物。当然还有地球各地的壮观美景与奇特地貌。
解剖之美,1493000,1278,24000,837,2529,人文神秘历史,暂无评分,评分人数不足,, 全2集,0,5,简介：这是一幅名画，死者约里斯的身体朝外，戴蒙的手泰然自若地将大脑的两个半球分开，以便到达脑部的中心位置。这幅画是伦勃朗所绘，伦勃朗在解剖主题绘画方面出类拔萃。而扬·凡·内克的画更为诡谲，他画的解剖新生婴儿的画面.
舰在亚丁湾,2204000,12000,4853,429,2314,战争,暂无评分,评分人数不足,, 全36集,0,9,简介：该剧通过讲述军人及其家属的日常生活，表新出新时代解放军保家卫国的决心以及他们的家属默默作出的牺牲。舰长肖伟国率海军编队奔赴亚丁湾护航，其妻龚新华走马上任家属委员会主任。因为军嫂杨灵儿开饭馆，军嫂周韵参加模特大赛，军嫂欧阳春要外企的高职高薪不要孩子，龚新华与自己的老同学曹冰冰冲突不断。曹冰冰是舰长韩世杰的妻子，任职区委办公室主任，分管军民共建工作，正与龚新华的工作有交集
有情鸳鸯无情剑,382000,1562,2095,825,348,武侠古装情感,暂无评分,评分人数不足,, 全32集,0,6,"简介：剧中尖锐的宫廷斗争、凄美的爱情悲剧、壮烈的江湖武打极其生动曲折，感人至深，震撼力强，具有极其强烈的可视性。男主人公邵达为兵部尚书邵良之子，性情刚烈，正直善良，嫉恶如仇，在朝廷权力之争的过程中，历经艰险，最终与元娟公主成为天下至尊的英雄，并练就了天下无双的""鸳鸯剑法""。元娟公主天真热情，美貌惊艳而又心地善良，因宫廷内的权力之争而受牵连，流落民间。 而丞相高俨是个阴险至极的奸臣，为窃取皇帝宝座不择手段，陷害忠良，勾结地方势力欲颠覆朝廷另建新政，还与胡太后狼狈为奸，最后又挟胡太后以自保，身败名裂。"
英国的华人虎妈妈,54000,688,2938,59,318,人文社会,暂无评分,评分人数不足,,0,4,简介：希望您的孩子学业成功吗？最好的指导手册，莫过于虎妈的榜样了。按照她的规矩办事，您会得到做上几个钟头的家庭作业，各种严格的规矩……以及门门得A的成绩。仙境节目组将会见三位居住在英国的中国母亲，三人都想尽一切办法，确保自己的孩子不染上西方同龄人懒惰的坏习惯。,
醉拳苏乞儿,307000,645,3745,644,467,武侠古装情感,暂无评分,评分人数不足,, 全20集,0,3,简介：民国初年，广东发生少有的旱灾。洛溪镇的苏记酒厂为酒厂用水与斧头帮大打一场，并打伤了斧头帮主雷豹的儿子，自此两家结为冤家。苏记酒厂大少爷苏灿，生性不羁，沉迷武学，对酒厂的伙计甚加严厉，但对妹妹苏铃偏袒有加，非常爱护。苏灿的未婚妻洪绮莲从国外完成学业归来，苏灿因忙于谈生意，未去接洪绮莲，刚下火车等苏灿的洪绮莲又遭遇小偷，幸好有苏记酒厂的程宗解围，行李箱未被窃走。洛溪镇一年一度的花炮会上，各帮帮会为赢得花炮会霸主，都派出高手上台争抢花炮，苏灿同斧头帮主雷豹将其他帮会高手打下台去，二人接着大打出手，雷光火花...
万物的奥秘,71000,848,6433,145,436,自然动物科技宇宙,暂无评分,评分人数不足,, 全6集,0,3,简介：这是一部轻松愉快的系列片，通过对所有重大问题深入浅出的解答，它将为您带来充满自由的想象力。对于科学探险家格雷格·富特而言，对生命或宇宙的疑问永远不会显得随意或愚蠢。如果你曾经想过天为什么是蓝色的，如何在雷击中生存下来，甚至于需要多少氦气球才能把人升起来，那么这是一部适合您观看的影片。通过采用异常简单的低保真演示，高科技设备和特技对隐藏在万物背后，从跳水时的腹部拍水动作到黑洞的奇特科学进行探索。
超人类的挑战,22000,191,1099,24,372,科技探险,暂无评分,评分人数不足,, 全10集,0,2,简介：Superhumans exist. They are the fastest among us. The strongest. The toughest. They are the real life Flash
出发吧 向着寒武纪,38000,325,1750,803,100,科技探险自然,暂无评分,评分人数不足,, 全13集,0,7,简介：不久的将来，研究人员文斯和汉娜回到了5亿多年前寒武纪时期的海洋，寻找“失去的密码”，这是振兴垂死地球的关键。加入他们和皮卡虫，“测试人员”将帮助他们找到丢失的密码，因为他们遇到了来自过去的奇怪美妙的生物！
女王宫殿荟萃,278000,2363,22000,448,1783,人文历史,暂无评分,评分人数不足,, 全3集,0,4,简介：王室建筑的盛宴，白金汉宫、温莎城堡、荷里路德宫—这些建筑如同英国王室一样，已有数百年的历史，早已成为王室历史上不可或缺的部分。女王的宫殿系列节目由菲奥纳?布鲁斯主持，就像一座陈列柜，向观众展示着艺术与建筑的美感、室内装饰及这些奢华建筑里的奇珍异宝，并讲述着隐藏于它们背后的那些令人吃惊的迷人故事。菲奥纳本身就是研究建筑的业余爱好者，另外，片中还邀请到了英国皇室收藏方面的馆长和专家。因此，每一集节目都将是高水平人士的对决，必然饶有兴趣，还将为您讲述鲜为人知的故事。
冰河期巨兽,1095000,4668,36000,1427,2730,动物科技,暂无评分,评分人数不足,, 全3集,0,27,简介：时间回到两万年前，那时，我们所在的地球是一个非常不同的世界。北半球被冰川覆盖，巨大的冰河冲下山谷，延伸到平原，随着海平面下降，大陆开始升起。体积庞大的长毛兽和凶猛的食肉动物统治世界，一些动物则选择迁徙。它们要穿过广袤而陌生的平原。在它们当中，人类作为杂食动物，在求生的过程中也不得不面对挑战。通过独有的挖掘方法和最先进的法医分析以及壮观的电脑图像界面，《冰河期巨兽》回到史前大陆，发掘古老而精致的史前动物拼图，从而以史前动物的视角再现了冰川时期。
飞跃进化,690000,11000,42000,2188,4556,科技,9.6,146,, 全3集,1,43,简介：本系列将与观众分享令人震惊的全新的生命故事。科学家通过挖掘地球找到了生命进化的线索，但是，眼下有一个新的领域可供人类去探索发现：人类身体内部。近年来，基因分析技术取得了令人难以置信的进步，它们揭示了某些信息，改变了我们对生命历史的认知，包括进化过程中的几个重大飞跃。人类基因就像一本历史书，书写着祖先物种过去所经历的重要进化事件的全部记录。通过追溯这些重大事件，该系列探讨了人类与生俱来的能力和本能的起源：观察，爱和思考。为什么会产生观察并学习周遭环境的念头？为什么会和家人建立亲密关系？
北极熊家庭和我,47000,1996,1940,188,171,自然动物,暂无评分,评分人数不足,, 全3集,0,13,简介：我叫戈登·布坎南，我是一个野生动物摄像师，我的职业就是接近那些大的捕食者，但我还从没有如此近距离地接触过它，我想做一些前人没有做过的事，揭露世界上大型食肉动物的家庭生活，我将跟踪它们的一举一动，进一步了解这些熊。
深入海啸,2200000,13,9332,851,2158,科技自然灾难,暂无评分,评分人数不足,,0,13,简介：2011年3月11日，日本北部海岸发生里氏9级地震，引发高达40米的海啸。《深入海啸》调查了在釜石市发生的事情，深入到内陆的海啸淹没了那里的居民，夺走了1000多人的生命。,
时间大师 独立制表师,52000,796,3595,176,169,人文,暂无评分,评分人数不足,, 全3集,0,7,简介：世界上的精英独立制表师，从设计到装配制造手表都怀着难以置信的激情，他们精心将数百个微小的配件进行手工雕琢。这样一件真正的钟表界艺术品价格高达数十万美元。他们用无比神圣的惊人技艺扩展了人类的能力极限。以下仅为这种大师级神技的冰山一角：除了弹簧，全由木制的手表；既没有指针，也没有表面的手表；显示天体运动的手表。本系列纪录片深入作坊，探索世界各地杰出的独立制表师的故事。
超越大脑极限 中国的世界记忆力冠军,5394000,5937,18000,2391,5856,运动社会,暂无评分,评分人数不足,,0,22,简介：在世界记忆力锦标赛里，这些世界顶级的“记忆者”们将互相竞争，挑战人类大脑的极限。这些记忆大师们能在25秒内回忆起重新洗过的扑克牌顺序。他们可以在规定的时间内记忆超过2000个数字或100个人的名字与面孔。来自欧洲的记忆奇才们曾一度包揽了世界上的最高排名，但是，近些年来，来自中国的参赛选手们突然跃居顶端。他们的“秘密武器”来自他们独特的记忆技巧，利用了汉语言的特色和记忆力教育在中国的快速传播。2010年，世界记忆力锦标赛首次在中国举行，而中国参赛选手们的惊人本领揭开了记忆力史上的新篇章。,
美男高校地球防卫部LOVE！LOVE！LOVE！,150000,3670,311000,606,746,校园战斗,9.2,212,, 全1话,2,65,简介：作为TV动画《美男高校地球防卫部LOVE！》、《美男高校地球防卫部LOVE！LOVE！》的续篇，最新作OVA《美男高校地球防卫部LOVE！LOVE！LOVE！》于2017年8月26日起在剧场期间限定公开，2017年11月15日发售。
地球上最热的地方,119000,997,3189,146,202,探险自然,暂无评分,评分人数不足,, 全3集,0,2,简介：科学与自然又一次起了冲突 – 埃塞俄比亚北部的阿法尔洼地是地球上温度最高、自然条件最恶劣、同时也是最有科学研究价值的地区。这一地区地质特点独特，气候异常，生物进化有悖常理，然而，人们却对它知之甚少。《地球上最热的地方》节目组织了最优秀的科学家和国际专家对地球上最为神秘和有最有魅力的地区进行了跨学科的科学考察。
全天候野生动物追踪,47000,2308,1506,628,89,自然动物,暂无评分,评分人数不足,, 全5集,0,1,简介：本片将实时野生动物片和独特的故事相结合，见证了一些世界上最特别的动物。它们要在最脆弱的生命最初的几周接受生活的终极挑战。《全天候野生动物追踪》捕捉到小动物们在一多月的时间里的挣扎、尝试和经受的苦难。
博物馆的秘密,731000,11000,82000,1766,3324,人文历史,9.6,133,, 全6集,0,32,简介：世界最伟大财富背后的故事。为什么梵蒂冈的杰作被涂鸦所覆盖？卢浮宫如何保护名画《蒙娜丽莎》？为什么拿破仑请人作了一幅满是谎言的画像？《博物馆的秘密》摄制组前往世界上最著名的博物馆去寻找展品背后的故事。耳熟能详或是迷雾重重，这些故事都充斥着诡秘与迷人的色彩。从蒙娜丽莎、西斯廷教堂和图坦卡蒙国王的黄金面具，再到英国自然历史博物馆神秘的“坦克室”，该季里充满了我们已知的和未知的惊人真相。
人类的起源,276000,3474,8760,438,812,科技自然,暂无评分,评分人数不足,, 全3集,0,9,简介：我们揭开了原子的奥秘，我们实现了登月壮举。然而人类何以能如此成功？本节目探索了让我们以及我们的祖先得以占据优势的解剖学变化。从我们走路的方式，到下巴的形状，甚至是我们大拇指的活动方式，都将我们和祖先的挣扎与成功紧密联系在一起。然而，其中的很多变化却也让我们付出了惊人的代价。我们现在面临的问题，都是人类进化过程中产生的直接后果。《人类的起源》是一部关注人类今天的身体和人类六百万年前身体的系列片，它将改变你对自身的看法。
爱登堡巨蛋,11000,116,808,30,99,自然动物,暂无评分,评分人数不足,,0,1,简介：1961年的一个炎热夏日，正在拍摄《动物园探索》的大卫?阿滕伯勒从一名马达加斯加当地男孩手中，接过了一些巨大的蛋壳碎片。这些碎片是男孩在覆盖着沙粒的河床上发现的，它们属于世界上最大的鸟类——已经灭绝的重达半吨的象鸟。自从大卫在马达加斯加拍摄完《动物园探索》后，这里就发生了巨大的变化：80%的雨林遭到破坏，而人口却激增了四倍，当地特有的50多种哺乳动物在灭绝的边缘挣扎。阿滕伯勒珍贵的蛋壳碎片能解释远古象鸟的消失之谜吗？我们能从象鸟的命运中领悟到拯救马达加斯加野生动物的方法吗？,
深海水域 太平洋上的失落世界,53000,408,2394,101,139,探险自然,暂无评分,评分人数不足,,0,0,简介：太平洋上的新几内亚岛坐落在赤道之上，紧挨着色彩斑斓的珊瑚礁，锋利的水下悬崖深至1000米。期待已久的探险即将展开，日本放送协会（简称NHK）将与著名的海洋生物学家，印尼腔棘鱼的发现者马克·厄德曼联手，潜入这鲜为人知的热带海洋深处。世界上首次成功拍摄到巨型鱿鱼在其自然栖息地游动的球形透明潜艇，将作为此次相继邂逅真正活化石物种的工具。在他们的最后一次潜水活动中，在这深海悬崖最黑暗的深处洞穴里，我们的团队将邂逅一种巨大的、未知的热带鱼……,
风之电话 向逝去的亲人低语,16000,113,1456,167,116,人文社会,暂无评分,评分人数不足,,0,5,简介：在日本北部，有一座可以俯瞰大海的小山，山上有一个叫做“风之电话”的电话亭。它与世界上任何地方都没有电话线往来，但是，许多人来到这里，“打电话”给他们在2011年海啸中失去的亲人。电话亭在一户家庭的私家花园里，男主人最初安装电话亭是为了和他失散的表亲聊天。电话亭的名字来自于男主人的愿望，他希望风把他的声音带给逝去的亲人。毁灭性的海啸过后，他允许每一个来电话亭的人在这里打电话。从那时起，许多人来到这个电话亭。其中包括一个失去父亲的男孩和一位失去丈夫的女人。这是一部关于爱、悲伤和重生的纪录片。,
纯种狗的悲哀,300000,2506,8170,965,1501,动物萌宠,暂无评分,评分人数不足,,2,17,简介：2008年，《纯种犬曝光》揭示了令人震惊的纯种狗健康问题。观众通过影片了解到，狗狗之间的近亲交配十分普遍，结果是它们的后代将遭受令人难以接受的畸形和疾病。影片引发了一场史无前例的全球争论和行动。《血统犬有害培育揭秘》将分析这部爆炸性影片的影响，并且提出问题：这些狗狗能否康复，又或者仍将被人们遗忘？,
月球的力量,88000,954,4871,184,573,科技宇宙,暂无评分,评分人数不足,,1,1,简介：天空中的月亮对我们每个人来说是在熟悉不过的了。但如果月亮不在现在的位置会怎么样？是否会在何种程度上影响地球上的生命体？太空科学家和月球狂热研究者Maggie Aderin-Pocock博士在本片中将透彻的分析我们与月亮的亲密关系。,
福尔摩斯如何改变世界,82000,829,7278,305,496,人文历史,暂无评分,评分人数不足,, 全2集,0,5,简介：Special reveals for the first time the astonishing impact that Holmes has had on the development of real criminal investigation and forensic techniques.
黄石公园,547000,8996,43000,1494,1761,自然动物,9.7,121,, 全3集,0,32,简介：BBC推出的《黄石国家公园》荣获多项国际大奖，完美呈现了史诗般的生态画卷，让黄石公园寒冬、酷夏、金秋季节的美丽景象一一呈现。泥火山、彩色峡谷、瀑布、世界最大的碳酸盐沉积温泉、钻石雪；深入险境在镜头之下和野生动物一同挑战零下40度的生存极限。
机场全天候,33000,228,1946,145,151,社会,暂无评分,评分人数不足,, 全4集,0,0,简介：乘坐飞机是一件奢侈的事情，但我们已习以为常了。为保证飞机准点和乘客的运输，机场应具备什么条件？该节目跟踪拍摄了希斯罗机场四个整天以揭示其背后的故事。希斯罗机场占地近13平方公里，每天运送近20万乘客，是世界上最忙碌最复杂的地方之一。本节目的主持人有凯特?亨布尔、达拉斯?坎贝尔和安尼塔?拉尼，他们一路跟随一架飞机，从空中交通控制中心到飞机库，从飞机进入希斯罗机场一直到它离开。从空中交通中心复杂的调度，到如何驾驶世界上最大的客机——A380，《机场全天候》是一次兴奋的天空之旅。
动物拯救了我,19000,209,844,245,48,动物人文,暂无评分,评分人数不足,, 全6集,0,0,简介：这部系列片显示了动物会如何竭尽全力拯救人类—甚至是陌生人。这些感人且令人惊叹的故事讲述了一群动物如何在人类最需要帮助的时候为人类提供帮助。这些都是与众不同的救援故事，它们告诉我们：除了狗之外，还有很多动物是我们人类的好朋友。
风暴星球,25000,80,1061,41,63,科技宇宙自然,暂无评分,评分人数不足,, 全3集,0,0,简介：地球的气候令人肃然起敬： 从飓风到闪电，海啸到沙尘暴， 他们给地球带来严重的损耗，并造成大规模的破坏。但是，最糟糕的气候为我们带来的灾害与无处不在的风暴带给太阳系和已知星球造成的破坏相比，结果如何？ 暴风世界为您揭晓。 通过采访国际知名科学家、公布首次面世的数据，这部三集构成的揭示大自然的纪录片向我们展示正在作用于宇宙的伟大自然力量。 同时，通过强大的高清动画描绘出暴风雨可能对地球造成的破坏。
发掘不列颠 第一季,40000,79,7870,89,165,历史人文社会,暂无评分,评分人数不足,, 全4集,0,1,简介：爱丽丝·罗伯茨教授回来主持了这个抓人眼球的热门节目的第三季了。《发掘不列颠》以一种新颖的方式在电视屏幕上展现了考古过程，来到田间地头，向观众们展示发现具有启示性的文物时的兴奋和激动。在修订版的节目中，观众将看到爱丽丝和团队在英国最顶尖的博物馆研究一些令人难以置信的文物，与英国最重要的专家讨论每一个发现。这些特别珍贵的历史珍宝将每一个发现放到所处的时代背景，让我们了解古人们是如何生活的。《为英国而挖掘》带来了一些近年来最重要的考古成果。
荒野之旅,103000,106,2708,64,136,自然旅行,暂无评分,评分人数不足,, 全3集,0,1,简介：欣赏英国的壮观景色 本节目以抒情的表现手法，引人思索的叙述方式，展现了英国优美的自然风景。本节目将带领观众深入探索英国三所标志性的国家公园：凯恩戈姆、新森林和斯诺多尼亚。这些公园不仅是野生动植物的栖息地，同时对人类也有着重要的价值。本节目将从公园中生活、工作、游玩的人的视角，带观众欣赏各种各样的壮观景色；并聚焦每所公园的独特之处和它们如此令人神往的原因。
非凡动物 第一季,33000,281,957,120,41,自然动物,暂无评分,评分人数不足,, 全7集,0,1,简介：會說話的大猩猩、喜歡藝術的大象、天才黑猩猩及聰明的章魚，這是不是童話世界裡才有，真實世界也有，保證讓你看得瞠目結舌。本影集專門研究與眾不同、具有特別能力的特殊動物。沒錯，日本有隻母黑猩猩能數到十，且能記得代表數字、文字及顏色的符號。在泰國的梅坦象園，有頭大象的畫吸引了知名評論家的注意，且牠的話最高賣到四萬美金。邊境牧羊犬讓研究員大吃一驚，因為牠懂得超過兩百個字，且能學習新的字。請來看看這些不可思議的動物。
繁荣的英国房地产,117000,537,4719,104,423,人文历史,暂无评分,评分人数不足,,0,1,简介：过去两年间，英国房价持续上涨，其影响波及方方面面，伦敦尤为明显，房价井喷带来的影响就是没有任何砍价的余地，有人初次购房，有人则从房价飘红中牟利，可购房源也越来越让人哭笑不得，居家成本也迫使人们搬离其居住一生的家，与此同时，也有新卖家搬入，随着压力渐长，邻里隔段时间就会换一轮，这意味着对一些人来说居住和工作地点得按需迁徙，如今，英国各地房价都在上涨，其中有人笑也有人哭！,
卧底海豚帮,151000,6899,24000,696,701,自然动物,暂无评分,评分人数不足,, 全2集,0,18,简介：海豚是地球上最具有社会性、最调皮的动物之一。它们有强大的家族组织，却喜欢和别的动物一起寻找食物。在这个过程中，会发生很多令人捧腹的事情。本片跟踪了莫桑比克海岸一只宽吻海豚的生活，揭开了海豚行为中鲜为人知的方面。系列纪录片《间谍动物》的摄制人员配备了经特殊设计的摄像机和最先进的技术装备，得以近距离接触不同的动物。摄制人员潜入水下的海豚世界，窥见了它们高度发达的智商和有趣的性格特征。本片展示了一只经过训练的海豚以“双重间谍”的身份生活的独特经历。
寄宿学校：从男孩到男人,124000,1090,8340,353,851,社会,暂无评分,评分人数不足,,0,5,简介：英国寄宿学校往往被视为培养未来政治家和商业精英的特权学校。这几年里，人们对寄宿学校越来越痴迷了，这得感谢小说《哈利?波特》中对霍格沃茨魔法学校的描述。这部引人入胜且富有洞察力的纪录片揭秘了传统寄宿学校如何将男孩子们培养成人的故事。33年前，在一所精英男子学校——拉德利学院里，一群男孩子首次被记录到摄像镜头中。如果您看过BBC之前播出的电视剧《公立学校》，其中的一些令人惊讶的内容片段就截取了本节目中那些男孩的故事。,
发明的火花,29000,210,3032,647,103,科技社会人文,暂无评分,评分人数不足,, 全8集,0,1,简介：从灵感的闪光到经过多年反复试验后得之不易的发现，这个具有启发性的系列探索了许多我们今天认为理所当然的发明背后的故事。《发明的火花》讲述了关于发明创造和那些塑造了我们世界的天才们背后那令人难以置信的运气、勇气和天分的故事。最初，发明可能只是一个写在餐巾纸上的想法，却有人突然从中看到了未来——从第一根牙刷、第一双跑鞋到第一堆炸药、第一辆折叠婴儿推车，发明将继续改变我们生活的方式，也使得许多制造商变为了百万富翁。但创新并不是只能在实验室诞生：许多改变游戏规则的突破都是在厨房的餐桌和工作台上产生的。
恒河,117000,1017,4949,127,410,人文历史,暂无评分,评分人数不足,, 全3集,0,4,简介：恒河 — 一条贯穿印度心脏地带的河，赐予印度人民及野生动物丰富物产及珍贵水源的神圣之河。 从喜马拉雅山之巅流贯恒河三角洲，最后到达大海，途中孕育了辉煌璀灿的古印度文明，更养活了两岸数之不尽的野生动植物，是一众巨型蜥蜴、老虎、巨鳄、大象及猴子的乐土。令人惊叹的建筑奇迹，美不胜收的风景和独特的印度文化，莫不令人感到震撼。节目将与大家探讨恒河两岸丰富的野生生态、壮丽的历史文化及信仰传奇，诉说恒河缘起缘灭的生命故事。
极端天气：幸存者,79000,459,3226,223,337,自然社会灾难,暂无评分,评分人数不足,, 全6集,0,2,简介：这部快节奏的系列片将为您讲述生活在地球极端和致命环境中人们的真实故事。夺命的台风、极地暴风雪、火山、山洪、飓风和海洋风暴把这些度假者带到了危机边缘，把一次本应该是充满田园风情的旅行，变成了恐怖天气中的惊天噩梦。故事包括一对夫妇，他们的唯一逃出马丘比丘地区暴风雨的途经是穿过湍急河流上的荒废小桥，以及一位被加勒比海上风暴中的雷电困住的年轻女士，其中交织着令人不可思议的第一人称证词，业余拍摄的胶片和关于风暴的科学知识。这部引人注目的系列片讲述了处于困境中的人们如何在极端天气下生存的故事。
泛亚公路第一季,48000,366,3665,177,279,人文旅行,暂无评分,评分人数不足,, 全5集,0,0,简介：泛亚公路是一部旅行纪录片，展示了真实亚洲的不断转型。这是一个西起土耳其，东至中国和日本等32个国家组成的公路网。
岛耕作的亚洲企业家访谈,22000,70,1151,49,103,人文社会科技,暂无评分,评分人数不足,,1,3,简介：张忠谋，台湾半导体制造有限公司的主席，他将一种新的商业模式引入了半导体制造业务，因而成为知名企业家。二十六年前，张忠谋成立了全世界第一家基于寄售的半导体芯片制造公司。几年时间，他的公司已发展成为世界顶尖公司之一，占据了全球50%的市场份额，成为半导体行业的销量冠军。现在，他掌控了许多位于美国硅谷的公司的命运。张忠谋颠覆了行业中如何使用分包商的想法。而他又是怎么产生这个想法的呢？概念的起源：揭秘张忠谋的人生历程，重绘半导体制造的地图。,
非凡旅程地球公转与自转,668000,9148,7264,562,1197,科技宇宙,暂无评分,评分人数不足,, 全3集,0,22,简介：现在，我们以每小时6万4千英哩的速度绕太阳运行；第二年，地球在运行了5亿8千4百万英哩后回到了航程开始的起点。在此片中，纪录片制作者凯特?汉伯和海伦?乔斯基跟随地球进行了一次完整的绕日航行，见证了这次奇异旅程带给地球的奇妙变化。从更替的四季到破坏性的气候现象，他们绕太阳环行感受由航行带来的极 致体验；他们也试图向世人解释在时间的长河中，地球轨道如何发生着变化，以及这些微妙的变化给地球带来了决定性的影响。 此纪录片首次展示了地球绕日环行的全过程，从大胆的空间想象到近在眼前的飓风，皆向观众展示了地球绕日旅行的史诗性历程。
发掘不列颠 第二季,22000,44,7870,100,61,人文历史社会,暂无评分,评分人数不足,, 全4集,0,1,简介：《发掘英国》以一种新颖的方式在电视屏幕上展现了考古过程，来到田间地头，向观众们展示发现具有启示性的文物时的兴奋和激动。在修订版的节目中，观众将看到爱丽丝和团队在英国最顶尖的博物馆研究一些令人难以置信的文物，与英国最重要的专家讨论每一个发现。这些特别珍贵的历史珍宝将每一个发现放到所处的时代背景，让我们了解古人们是如何生活的。《为英国而挖掘》带来了一些近年来最重要的考古成果。从神秘的第二次世界大战坠毁物，到英国的第一家医院，本系列来到英国最有趣的的挖掘现场，将再次成为新闻头条。
昆廷卡洛琳国家公园,15000,95,1062,50,67,旅行自然,暂无评分,评分人数不足,, 全3集,0,0,简介：苏格兰的第一个国家公园已经建立60年了，但它依然光彩夺目，广受人们欢迎，因此，摄制组去到那里，探寻人们喜欢那里的原因，他们在那里观察野生动物，品尝野味，结识在风景区工作的人们，本片将带大家领略苏格兰的迷人风光！
科学的历史,81000,1002,6221,243,450,历史科技,暂无评分,评分人数不足,, 全6集,0,4,简介：每一天的每一刻，我们都生活在一个由科学构建的世界里。但是，我们如何来到这里的？这个问题不仅仅是一个有着重大发现，天才思想或某个人跳出浴缸，大叫“我找到了！”的故事所能解答的。《科学的历史》为我们展示了历史上的政治动荡是如何与改变我们的生活。该剧每一集都从一个每个人都会问到的简单问题开始，然后对过去进行研究，发现人们的故事，并重新塑造出人们通过试验来发现答案的情景，并由此改变了这个世界。这部系列片将让我们了解从前科学家如何发现我们的构成，我们来自何处，以及地球出现之前的情景。
巨富与我们,302000,2532,25000,613,1765,人文,暂无评分,评分人数不足,, 全2集,0,10,简介：记者Jacques Peretti走访各种土豪人士、经济学家、平民百姓，研究超级土豪是如何改变了英国。这部纪录片揭露出所谓的“下渗式经济”是如果令贫富变得更加悬殊的。
尖叫：保罗·好莱坞遇见阿斯顿·马丁,14000,36,506,40,48,社会人文,暂无评分,评分人数不足,,0,2,简介：阿斯顿·马丁（AstonMartin）公司设在英国盖顿，生产敞篷旅行车、赛车和限量生产的跑车。建于1913年，创始人是莱昂内尔·马丁和罗伯特·班。1987年被美国福特公司收购。2007年，Prodrive老板大卫·理查兹以9.25亿美元的价格从福特手中购得阿斯顿·马丁。,
