电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,Column1
烈火战车,349000,5494,15000,1221,6793,剧情动作,9.6,313,108,2,58,简介：阿祖（刘德华 饰）母亲逝世后，父亲（秦沛 饰）管教方法不当，父子俩的关系疏离。阿祖离开家独自生活，生活状况并不如意，幸好有女友阿仪（梁咏琪 饰）在旁鼓励照顾。阿祖一向喜爱赛电单车，但他性格要强，一次与父亲车队中的大伟（吴大伟 饰）比赛，结果阿祖在比赛中受伤了，昏迷了十天…,
黄飞鸿之西域雄狮,1877000,23000,139000,2500,16000,动作历史,9.2,548,102,0,104,简介：黄飞鸿（李连杰 饰），十三姨（关之琳 饰）和鬼脚七（熊欣欣 饰）三人远赴美国旧金山，只因一年前牙擦苏（陈国邦 饰）在美国开设宝芝林至今终于扎下了脚跟。黄飞鸿于路搭救了落难的美国快枪手比利，不想他们的旅队被林中埋伏的印第安人冲散，黄飞鸿为救十三姨落入湍急河流，头部受撞击后下落不明。,
黄飞鸿92龙行天下,875000,9871,34000,2439,12000,动作,8.4,268,92,1,44,简介：武师陈厚德（元华 饰）远赴美国开设宝芝林，时常召唤国内的徒弟阿杰（李连杰 饰）来美国帮衬，但阿杰担忧在美的居留问题，迟迟未到。陈厚德曾经收下一名美国弟子尊尼（杰瑞·特林伯 饰），尊尼学成后却挑战师傅，意欲扬名立万扩张自己的武馆，陈厚德被尊尼打成重伤，宝芝林也被砸烂，幸好有少女安娜路过，将陈厚德救走。,
给爸爸的信,1707000,28000,50000,4331,22000,剧情动作犯罪,9.7,1043,104,2,215,简介：大陆卧底公安巩伟（李连杰 饰）因工作关系，不能给重病的妻子更多照顾，也不能为懂事又武艺高强的儿子巩固（谢苗 饰）提供更多关怀，在妻儿急需要他的时候，巩伟因上司的命令，假扮罪犯，和大陆抓获的香港黑道分子小黑（柯受良 饰）一同逃跑，踏上了远赴香港甫光（于荣光 饰）团伙卧底的旅途。巩伟与甫光团伙在炸弹交易中黑吃黑，混战中搭救了香港督查方逸华（梅艳芳 饰），并凭借出色身手得到了甫光的信任...,
英雄本色2,2304000,43000,251000,8177,22000,剧情动作犯罪,9.7,2062,150,1,395,简介：第一部中，小马哥（周润发 饰）死在乱枪之下，宋子豪（狄龙 饰）和弟弟宋子杰（张国荣 饰）冰释前嫌，英雄的故事还在继续。警方怀疑宋子豪的恩师龙四（石天 饰）利用船厂做掩护，暗中操纵伪钞集团，派宋子杰去接近龙四的女儿小辉，做卧底，宋子豪为了弟弟的安全，不得不假释出狱，协助警方调查...,
英雄本色3：夕阳之歌,1339000,6025,251000,3320,15000,动作战争,8.4,849,120,3,172,简介：Mark哥（周润发 饰）和志民（梁家辉 饰）是堂兄弟，两人是越南华侨，现正在香港发展。岂料越战打响，两人都十分担心仍然居住在越南西贡的志民的父亲松叔的安危，为了凑足钱将志民父亲接到香港，两人决定帮当地黑帮走私军火到越南。岂料他们在越南遭到了丧邦的伏击，关键时刻幸亏香港黑帮老大的女友英杰（梅艳芳 饰）及时相救，两人才幸免于难…,
求爱敢死队,380000,5250,9519,569,7864,喜剧爱情,8.2,117,91,0,20,简介：娘娘腔的小胖子冼洁晶（王晶 饰）被女友甩掉，绝望之际企图跳楼自杀。他的做法不仅引来无数群众围观，还因此结识了同病相怜的非常烦（冯淬帆 饰）和何马同（林俊贤 饰）。阿烦作风粗暴爱骂人，阿同内向胆小，两人的恋爱道路同样几多坎坷。主持“爱情止痛药”的电台DJ谭宇伦（曾志伟 饰）看三人可怜，决定帮他们成为泡妞专家。在了解三人的缺点后，谭带他们来到夜校，阿烦很快就迷上了美丽的女老师李楚红（李美凤 饰）。反惹来对方的反感。楚红和室友小贝贝（邱淑贞 饰）、芬妮（张曼玉 饰）住在一起，这三对男女因此机缘结识，继而展开一场妙趣...,
绝种铁金刚,764000,6913,16000,863,13000,喜剧,8.1,180,93,0,41,简介：著名影星詹二帮常常出演一些英雄类人物的角色，但现实生活中却胆小如鼠，使深爱的妻子曼琼离开了他，自此他便跟两个女儿忌廉与脆皮一起生活了。铁男与Janet均是国际刑警，得知恐怖分子龙一将到香港去取另外的生化武器，在香港与恐怖分子交手的过程中，误入了二帮的家里，铁男被注射了智力退化的病毒，智商只有4岁儿童的程度...,
辣手回春,848000,2601,13000,462,7327,喜剧,8.4,107,92,0,27,简介：8年前Yan进医院割盲肠时遇到了Joe与Jim两位医生，都给她留下了深刻的印象，也是她决心成为医生的缘故，她更打算嫁给他们其中一个。当她进入他们所在的医院当医生的时候，发现Jim变成了一个市侩、没有责任心的医生，Joe更因为不满现今的医疗管制而不当医生了...,
忘不了,451000,6613,20000,1388,11000,剧情,9.6,367,109,2,104,简介：阿文（古天乐 饰）是一个小巴司机，在一次交通意外中丧生了，他的新婚妻子小慧（张栢芝 饰）强忍伤痛也要继续生活下去，还要照顾阿文与前妻生下的儿子乐乐（原岛大地 饰）。她开着阿文生前用过的小巴开始新的生活，可是行内的人都看不起这个女小巴司机，踌躇满志却处处碰壁。大辉（刘青云 饰）同情她的遭遇，便开始教授她一些在行内需要注意的行规以及竞争的方法...,
绝世好Bra,283000,4894,14000,332,6672,喜剧爱情,8.4,127,105,0,33,简介：日本著名胸围公司的香港区总裁Samantha（刘嘉玲 饰）破例聘请了Johnny（刘青云 饰）和Wayne（古天乐 饰）两名男设计师。他们的上司高级设计师Lena（梁咏琪 饰）觉得他们根本无法胜任这份工作，因此常常刁难他们。公司要求他们设计出一款“绝世好Bra”，可是多次失败...,
绝世宝贝,262000,1619,14000,185,4970,喜剧,暂无评分,评分人数不足,104,0,9,简介：自从成功研发“绝世好Bra”后，Lena（梁咏琪 饰）、Johnny（刘青云 饰）跟Wayne（古天乐 饰）再次受命研发以“绝世好B”为卖点的一系列婴儿产品。Johnny升职为部门主管，聘请了十分神经质的秘书Sabrina。Wayne与Lena也早已确定了恋爱关系，更有了结婚的打算。Wayne对婴儿有恐惧症，对三人的研究任务带来的诸多不便...,
吉星拱照,564000,5271,18000,1463,12000,喜剧,9.4,237,90,0,46,简介：林宝生是香港富豪，与表妹玉仙早已订婚。但宝生并不喜欢未婚妻的庸俗，决定逃婚，并要证明自己能独立生活。出走的第一天，他阴差阳错来到了一个慈善晚会，认识了晚会赞助商东东快餐店的老板与其妹妹，还成为了快餐店的员工之一。宝生与一群善良的同事度过了一段难忘的时光，他也看到了自己价值的存在，与老板的妹妹也产生了感情...,
心动,211000,3643,11000,1194,6615,爱情,9.3,136,113,0,51,简介：女导演Cheryl跟编剧商量准备开拍一部关于初恋的爱情故事，她决定把故事时间订在1977年，那时候的女主角小柔只有17岁，在舞会上遇到了男主角浩君两人一见钟情，很快他们便陷入了热恋之中。小柔有一个好朋友叫陈莉，小柔除了跟她诉说心事以为，更是逃过妈妈追问出外过夜的好借口。浩君与小柔的家人很快知道了他们的事，两方家长都要求他们分手了断，伤心欲绝的小柔找到陈莉...,
杀之恋,151000,2147,8351,511,6082,爱情惊悚,暂无评分,评分人数不足,92,0,19,简介：月黑风高的夜晚，戚志广（张国荣 饰）独自行驶在路上，电台里播放着鬼故事，这时车子突然驶离轨道，戚停下车检查，等他再次上车后蓦地发现后座竟多了个清纯的白衣女子（钟楚红 饰）！下车后，白衣女子突然主动向惊魂未定的戚志广献上热吻，待戚带其去舞厅后伊人却随即失去了踪影。经此一见，戚像失了魂般心中全是佳人的影子，并在第二天回到旧地寻找。…,
恋上你的床,1294000,12000,20000,752,12000,喜剧爱情,8.5,198,105,1,58,简介：屈小乔（郑秀文 饰）是一名杂志记者，每次遇男友分手，都要拿回自己的床褥。杂志总编安排她跟进警方代言人高志强（古天乐 饰）不行的消息。其实志强在一次追踪犯人的时候，产生了阴影因此不行。小乔多次试探仍无进展却爱上了志强，得知志强的过去后，小乔认为他们的爱情不一定需要性来维持。小乔的前男友Raymond在法院邂逅只得18岁的阿塔（蔡卓妍 饰），Raymond认为阿塔只是个小女孩，故也不能从小女友身上得到需求...,
神勇双妹唛,88000,801,2874,111,637,喜剧,暂无评分,评分人数不足,93,0,6,简介：梁山伯（郑裕玲 饰）与祝英台（张曼玉 饰）是情同手足的表姐妹，彼此之间感情十分要好，两人靠着收租维生。阿本（潘震伟 饰）是两人家中的租客，某一日，他突然离奇死亡，梁山伯和男友装帅（陈百祥 饰）对阿本的死因产生了怀疑。一位名叫山姆（林俊贤 饰）出现自称是阿本的弟弟，领走了阿本的遗物。杀手大蟒蛇（韩义生 饰）绑架了梁山伯和祝英台，命令他们交出阿本的遗物，好在山姆和装帅及时赶到，两位柔弱女子才幸免于难。徐警督（关明玉 饰）找到了梁山伯等人，让他们交出神秘玉佩，原来，徐警督正是杀害阿本的真凶，而山姆的真实身份则是调...,
