电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
机器猛犬,597000,1876,7451,176,5316,科幻冒险,4.3,142,99,1,41,简介：一个运气不佳的自行车手迈尔斯某天偶然发现一只先进、机器、军用的机器狗A.X.L.，其心脏是真狗的心脏，其他部位装备新一代人工智能。迈尔斯和AXL在日常交往中逐渐增进感情，而无赖军事科学家要不顾一切将AXL捉回…,,,,,,
爱在飞,7615,6,95,5,19,剧情,暂无评分,评分人数不足,已完结, 全23集,0,2,简介：富裕起来的浙江商人纷纷以拥有自己的私人飞机为荣，巨大的市场吸引了世界各地的私人飞机供应商来瓜分这份蛋糕。霹雳神鹰企业董事长许大志从小爱好飞行，他希望与大家一起为中国的私人飞行事业做出贡献。季浩伟是以霹雳神鹰执行总经理的身份请各大厂商在三个月内提交计划案，由神鹰挑选最佳合作对象。然而，邝美媛的出现，使他与天使之翼集团总经理谷杰都陷入无法自拔的爱情泥淖中。邝美媛、季浩伟与谷杰，这三个企业新贵，各以不同的风格驰骋商场。他们以年轻人的热情拥抱生活，享受生活，他们开着飞机去探险，去支教，去抢救山村的病人，去沙...,,,,,
兵法乡村,12000,10,104,15,26,,暂无评分,评分人数不足,已完结, 全26集,0,2,简介：柏胜兵（王光辉饰）退伍回乡后发现，自己离家十年，家乡在父亲柏保国（李玉锋饰）带领下与十年前毫无变化，在外面接受过洗礼的柏胜兵与父亲发生了冲突，他决心改变现状。他推掉了去武装部工作的机会，在支教女大学生胜男（许还幻饰）帮助下，挤掉墨守成规的父亲，担任了村里的党政一把手。大学生才文秀（李菁饰）为追求胜男，吹嘘自己是城里某公司的经理，而竞选村官失败的钱砚开（孙松饰）对柏胜兵产生了浓浓的妒意。在与柏胜兵合力工作中，胜男渐渐喜欢上这个有抱负的退伍兵，钱砚开的儿子钱串子（何云伟饰）也喜欢上胜男，才文秀提出三人公开竞...,,,,,
小鼠乒乒之欢乐无限,8969,4,301,20,131,少儿,暂无评分,评分人数不足,已完结, 全26话,0,2,简介：《小鼠乒乒之欢乐无限》每集讲述一个独立的故事，将焦点集中于一只阳光开朗，喜欢冒险的小老鼠那丰富多彩又自由独立的生活，不仅向观众展示了他日常的点点滴滴，喜怒哀乐，还有他种种离奇有趣的经历。在第三季的故事中你会看到更多贪玩幽默的形象设计，天真无邪的奇思怪想，花样翻新的时尚生活空间，以及炫目的动作，跌宕的剧情，令人捧腹的笑料，以及开放式的剧集，经过幽默处理，必定带给小朋友们轻松愉悦，永远有新看点的观感。,,,,,
冬日奇缘,78000,373,2306,62,2885,剧情悬疑奇幻小说改,暂无评分,评分人数不足,118,0,6,简介：皮特是一名心地善良的男子，却在无奈之下加入了名为“短尾巴”的黑帮组织，成为了一名小偷。一场意外中，皮特得罪了黑帮大佬索穆斯，引来了杀身之祸，为了保命，他不得不踏上了逃亡的旅途。,,,,,,
小鼠乒乒之成语大典,10000,7,301,13,100,少儿,暂无评分,评分人数不足,已完结, 全26话,0,2,简介：欢迎来到欢乐村，我们的主角乒乒和他的朋友们就生活在这里，这里有美味的哈哈饼，这里有善意的恶作剧，这里还有恐怖的麻烦，更重要的是，这里有快乐！作为哈哈饼屋的大厨，乒乒偶尔也会因为迷上新游戏而耽误工作。他最好的朋友叫大头猪——天才和白痴只在一念之间，他就是最好的例子！,,,,,
独爱一生,471000,534,589,90,393,,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：清朝末年的西南某镇，卫府是当地望族。一名没有来历的流浪儿因机缘巧合，被卫家大老爷卫仁杰带回卫府。卫仁杰与夫人慈云在这名流浪儿身上，找到早年夭折的爱子卫天熙的影子，不久将他正式收为义子，赐名卫天熙。卫仁杰独女卫殊蔓虽为世家所出，从小却纯真顽皮，不愿受大家族的繁文缛节所缚。面对天熙的到来，两人从对立到接近，殊蔓内心渴望自由狂野的天性为天熙激发，两人渐成亲密无间、共同冒险的玩伴。随年龄增长，天熙与殊蔓产生了不分彼此、难割难舍的独特爱情。天熙的到来，威胁到二老爷卫仁毅之子卫天照作为卫家继承人的地位。在母亲淑...,,,,,
小鼠乒乒之成语大典2,6280,1,301,5,96,少儿,暂无评分,评分人数不足,已完结, 全26话,0,1,简介：欢迎来到欢乐村，我们的主角乒乒和他的朋友们就生活在这里，这里有美味的哈哈饼，这里有善意的恶作剧，这里还有恐怖的麻烦，更重要的是，这里有快乐！作为哈哈饼屋的大厨，乒乒偶尔也会因为迷上新游戏而耽误工作。他最好的朋友叫大头猪——天才和白痴只在一念之间，他就是最好的例子！,,,,,
大侠山猫和吉咪 第二季,16000,2,417,10,103,少儿,暂无评分,评分人数不足,已完结, 全52话,0,1,简介：邪恶的霸主卷土重来，万花岛面临最大的危机，山猫身份被揭开，友情和亲情间如何取舍？古力辛克敌我不分，山猫吉咪腹背受敌。关键时刻，山猫化身山猫侠，横空出世，一次次与敌人斗智斗勇，保卫家园。,,,,,
伴你到永远,21000,2,127,12,56,剧情家庭,暂无评分,评分人数不足,已完结, 全24集,0,0,简介：市公安局接到了某日籍人士寻找中国母亲的消息，警方展开调查。另一方面，电台女性在播完一则日本儿子小林茂寻找中国母亲马莲的《寻人启事》后，突然接到了十五年未曾谋面的好友汪洋的是电话，没想到的是，见面后汪洋竟然向方竹倾诉了深埋心底的爱意……由于方竹忘记了结婚纪念日，引起了丈夫家夫的不满与猜忌，他一次次跟踪、猜忌、无中生有，甚至……该剧充满了矛盾、悬疑、碰撞、刺激；误解与被误解、追踪与被追踪，各种关系错综复杂，高潮迭出……,,,,,
大侠山猫和吉咪 第一季,18000,11,417,9,155,少儿,暂无评分,评分人数不足,已完结, 全52话,0,0,简介：邪恶的霸主卷土重来，万花岛面临最大的危机，山猫身份被揭开，友情和亲情间如何取舍？古力辛克敌我不分，山猫吉咪腹背受敌。关键时刻，山猫化身山猫侠，横空出世，一次次与敌人斗智斗勇，保卫家园。,,,,,
关西无极刀,178000,1963,1583,111,646,武侠古装剧情,暂无评分,评分人数不足,已完结, 全20集,0,8,简介：这是一个由来已久的故事。一部新儿女英雄传。楼兰王宫后帏的一场讳莫如深的私情，一场雷鸣电闪的杀戮。王妃死去，武士火旋龙带着孪生儿子中的一个用无极宝刀冲开楼兰国王的兵阵，消失在漠之中。大漠孤烟，长河落日，十八年后，当年的武士在一次追杀中成了拐子，带着孩子和结义兄弟的女儿在双旗镇客栈平静内敛地生活着。憨厚明亮的大漠少年孩哥和美丽多情的大漠少女好妹，两人并不知真相地以兄弟相称快乐成长。,,,,,
开心一刻,6289,1,306,16,119,少儿,暂无评分,评分人数不足,已完结, 全22话,0,0,简介：该片以动画艺术形式再现网络、手机短信、以及生活中流传的健康有趣的笑话。,,,,,
快乐嘟嘟,10000,4,150,14,78,少儿,暂无评分,评分人数不足,已完结, 全104话,0,0,简介：该剧以发明创造为主线，描写嘟嘟宝星球上的两位主要人物：发明狂卡卡嘟和他的随从波波嘟。卡卡嘟会发明任何特别神奇、充满智慧和想象力的东西，但这个东西一旦到了波波嘟手里，总会产生意想不到的效果，反而让发明者卡卡嘟处境尴尬或狼狈。波波嘟看起来傻乎乎的，但其实他常常是大智若愚的；而卡卡嘟看起来极其聪明，但其实常常又是漏洞百出、弄巧成拙的。这两个人物本身就是一对矛盾，使故事充满了诙谐和幽默，极富逻辑性和想象力，给人以启迪。,,,,,
不负天职,22000,47,132,12,58,,暂无评分,评分人数不足,已完结, 全22集,0,0,简介：基层反扒公安张耀东，是当地有名的“反扒英雄”。某天，耀东抓住了行窃的秦向明，却从其身上搜出患中期肺结核的诊断结果，原来向明的母亲患有非常严重的心脏病，家庭十分困难。张耀东将向明送进了拘留所，却利用修班的时间看望其母亲，正逢她心脏病病发将她送进了医院。外号“医生”的扒手手艺高超，却意外被抓，让他的师傅老夹钳非常震惊，也让他对张耀东充满了好奇，他决定出山会会张耀东，扬言要盗取他的工作证…………,,,,,
红妆,71000,134,341,13,580,悬疑剧情,暂无评分,评分人数不足,已完结, 全32集,0,1,简介：1949年，解放战争进入最后的关键时刻，随着中国人民解放军的逼近，国民党仓皇百逃台湾。国民党国防部保密局直属特别勤务处少校参谋邓家骥及其妻子沈荷（张歆艺饰）正是这败逃大军中的一员，他们的真实身份是中国红妆情报小组的成员，为了继续从内部瓦解敌人，二人不惜随军前往台湾。谁知最后关头突发变故，沈荷留在大陆，夫妻被迫天各一方。不久之后，新中国建立，盘桓上空近百年的阴霾散去，但是败北的实力仍蠢蠢欲动，时刻蓄谋颠覆新政权。此时的沈荷以医生的身份在宁阳医学院附属医院供职，而当年国民党的特务也化身工人混入医院，觑准一切...,,,,,
蜘蛛侠,9442000,51000,434000,13000,50000,动作科幻冒险漫画改,9.7,2762,121,14,618,简介：彼得帕克只是美国一个平凡的高中生，当一次他被蜘蛛博物馆偷跑出来的变种蜘蛛咬了一口之后，彼得的生活彻底改变了。他变得和蜘蛛一样，拥有各种蜘蛛特有的超能力：从手指喷出粘力极强的蜘蛛丝、飞檐走壁等等。,,,,,,
警眼,18000,19,127,7,51,,暂无评分,评分人数不足,已完结, 全25集,0,0,简介：一部以真实案例改编而成的断案刑侦电视剧。它以三次荣获公安部一等功臣黄小勇警官侦破的案件为故事依据，一部具有浓郁的南粤特色，强烈的视觉艺术感染力的电视大剧。真实案件再现荧屏，再现神奇警探昨日经典。一综综离奇案件再现荧屏，一幕幕将真实案件经典重现，谜团和真相的盘根交错，案情错综复杂，真相扑朔迷离，看似简单的案情后面究竟还隐藏着多少鲜为人知的秘密，深埋于底的真相如何才能大白于天下？证供能否及时找出，揪出幕后的真正元凶，还被害者和民众一个公道？刑警白云峰凭借着一种英勇无畏精神和那热血男儿的铮铮铁骨，以其过人...,,,,,
蜘蛛侠2,3965000,36000,434000,7039,26000,动作科幻冒险漫画改,9.7,1691,135,6,393,简介：大战绿妖之后，蜘蛛侠帕克忍痛拒绝了他唯一的挚爱玛丽，因为蜘蛛侠的身份会为自己和亲人带来巨大危险，帕克决定独立承担起蜘蛛侠的责任。帕克一直在忙于应付各种挑战：学习超能力的灵活运用；在超级英雄与平凡大学生的双重身份下隐藏自我、小心翼翼地生活等等。,,,,,,
蓝色妖姬,1870000,1690,9644,453,11000,剧情,9.5,102,已完结, 全22集,1,71,简介：1907年，天津，两个英国士兵在强暴中国妇女时，被江湖女侠“蓝色妖姬”杀掉，英国领事馆借机对中方发起非难，动用武力包围县衙，一时间人心惶惶。私人侦探东方鸿飞（于荣光饰）受命朝廷追查凶手，查出“蓝色妖姬”真实身份是平时温文尔雅的小学教师赵卓雅（王思懿饰），并与其一见倾心，不过随着二人了解深入，东方鸿飞也逐渐发现赵卓雅虽然身怀绝技，除暴安良，但还藏有太后心腹的隐秘身份，被太后派往民间追寻宫廷至宝“八骏图”。各路人马反复较量，“八骏图”几经易手，真假难辨，又值革命党势力喧嚣尘上，试图推翻朝廷，外有洋人虎视眈眈...,,,,,
铁血雄心,353000,72,696,50,310,战争刑侦,暂无评分,评分人数不足,已完结, 全26集,0,0,简介：公安边防缉毒大剧《铁血雄心》以“发扬传统，坚定信念，执法为民，践行军人核心价值观”主题，以公安边防部队国际合作打击跨国贩毒的多起大案为素材，以国务院、中央军委授予“缉毒先锋站”荣誉称号的云南公安边防总队木康公安检查站为原型，讲述了公安边防官兵在禁毒人民战争勇当先锋的故事。,,,,,
蜘蛛侠3,5079000,39000,434000,6876,47000,动作科幻冒险漫画改,9.4,1630,139,6,313,简介：蜘蛛侠在经历了重重考验之后，成为了人人敬仰的正义英雄，抱得美人归。但是，光环下蜘蛛侠，也有自己的心病：他在第一集时放走了小偷导致最亲爱的叔叔被小偷杀死，帕克一直耿耿于怀。,,,,,,
超凡蜘蛛侠,5175000,43000,434000,14000,47000,动作科幻奇幻冒险,9.7,3051,136,10,593,简介：彼得·帕克意外被蜘蛛咬了一口，回程途中他的身体发生奇异的变化。在康纳斯博士德引导下，他不断了解并发掘体内着超乎寻常的能力，喜怒哀乐，各种意想不到的事情迅速向他袭来。直到某日，他便成了影响深远的超级战士蜘蛛侠。而城市内也出现了凶恶的蜥蜴人，彼得不平凡的人生就此展开……,,,,,,
牛玉儒,6010,8,40,10,32,剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：公元一九九六年十一月，一场百年未见的大地震袭击包头后，牛玉儒临危受命，就任包头市委副书记、代市长。上任当天，牛玉儒便直接来到受灾最严重的萨乌齐村，发现村民们依旧住在破烂的屋子里，未能搬进新房。这令他惊愕，他力排众议，追查下去，发现这是天成房地产公司玩乎职守，挪用救济款，致使工程半路停工。牛玉儒顿时大为愤怒，严令主管城建的尤副市长、城建局副局长江滨立刻解决此事，不得有误。同时，坚守在村中，工作在第一线的城建局规划科科长宋中华，给牛玉儒留下了深刻的印象。牛玉儒来到市政府，住在简易的单身筒子楼里，和自己的...,,,,,
望海的女人,217000,308,439,54,235,历史剧情,暂无评分,评分人数不足,已完结, 全36集,0,1,简介：1949年仲夏，闽南富商的女佣淑萍嫁往离岛，还未见着丈夫金水，金水和岛上的男人都被国民党军抓到了台湾。淑萍和岛上失去丈夫的女人一起，立誓今世侍奉公婆，给丈夫留一个家。1966年，离岛女人纷纷收到丈夫从台湾辗转寄来的信件，蔡国富捏造芬芳丈夫永春已死的消息，如愿娶回芬芳，永春闻讯后伤心不已，和再舜的妻子秋娟从假夫妻变为真夫妻。1987年台湾开始探亲，古韵书带着原配妻子素珍回到家乡见到毓梅和两个儿子，因为毓梅养大了素珍的儿子润泽，两个女人冰释前嫌。古韵书在台湾四处寻找金水的踪迹，获得了金水早已死于一次事故的消息。然而...,,,,,
向东是大海,123000,760,526,65,298,剧情,暂无评分,评分人数不足,已完结, 全36集,0,0,简介：清朝末年，商人胡雪岩为和洋人争夺市场，导致洋商与官府勾结，众多钱庄纷纷倒闭，胡雪岩也郁郁而亡。时逢宁波三江口贸易初创时期，因周家货运超载导致沉船，损失重大，加之先前其它原因，船东董家与周家从此结下梁子。周汉良（王志飞 饰）因社会时局所困，只能做点口岸走私生意，其母（萨日娜 饰）感觉此举不是长久之计，劝儿子做正当生意，在母亲规劝下，周汉良奔赴大都市上海，开始了他真正的商业之路，几年功夫他在上海站稳了脚根。但当时的上海鱼龙混杂，真正兴办民族企业困难重重，哪柱香烧不到也不行。当周汉良要开办水泥制造业时，他不...,,,,,
为爱而生,24000,725,378,67,646,剧情情感,暂无评分,评分人数不足,已完结, 全20集,0,4,简介：学古典音乐的孟晓星（陈奕迅 饰）遇见大提琴手林霏（顾绍华 饰），随即被其高雅的气质所吸引，但林霏不为所动。林父（濮存昕 饰）对女儿宣布再婚，失意的林霏到酒吧借酒浇愁，不料酒中被人下药，糊里糊涂与晓星发生了关系，数日后被医院查出己患爱滋，室友得知后逃也似的搬离。晓星知道林霏的病是他所传染后异常悔恨，但他体检的结果却是HIV呈阴性，为了安慰林霏，他没有将真相告诉她。林父为给女儿筹集治疗费，增加了一份兼职工作。其实真正把病传染给林霏的是与之有过一夜情的高强（徐僧 饰），而高强却认为是林霏害了自己......,,,,,
绝世双骄,5142000,25000,31000,2184,12000,武侠古装剧情,8.5,231,已完结, 全40集,0,92,简介：古灵精怪的赌坊少爷江小鱼（林志颖饰）是人人敬而远之的街头鬼灵精，常常将人整得落花流水。而生长于山林中的少年风无忌（唐宸禹饰）则是一个平凡忠厚的山林樵夫。两个看似毫无关系的少年却在相遇后，激起了二十年前一场血雨腥风的江湖恩怨。号称《绝代双骄》姐妹篇的40集古装武侠电视剧《绝世双骄》，借用了古龙原著《绝代双骄》的人物关系框架，却演绎出了一段江湖恩怨中爱恨交织的悲欢故事。本剧集众星云集，不仅由林志颖、唐宸禹、天心、李小璐饰演男女主人公，还网罗两岸三地各方大牌明星，力邀马景涛、萧蔷、陈德容、苏有朋、于莉等实力...,,,,,
开心超人联盟之奇幻谜瑞岛,4696000,15000,313000,7467,114000,战斗热血搞笑科幻,5.2,1200,已完结, 全26话,28,509,简介：超人联盟缴获了一个预言球，预言球预言星星球谜瑞岛的人鱼公主会变成泡沫消失，并引起星星球海洋危机。五超人接到超人联盟的任务，前往谜瑞岛人鱼部落阻止预言发生。没想到魔法师乐呵呵还是夺走了人鱼公主的歌声，让人鱼公主变成了泡沫，超人们未能阻止预言的发生。最后不放弃的超人们合力打败了乐呵呵，救回了已经变成泡沫的人鱼公主，同时拯救了海洋世界。,,,,,
炮弹专家,297000,849,5703,114,4113,动作惊悚,暂无评分,评分人数不足,110,0,10,简介：美国中央情报局的特种兵炸弹专家雷因为过失引咎辞职，辞职后的他靠当职业杀手为生。这天他接到了神秘女子美的生意，美要他杀死当地的黑社会头子。其实美就是那个黑社会头子的情妇，因他早前曾杀害了美的父母，所以美不惜一切要报父母之仇。,,,,,,
东方少年,11959000,32000,482000,15000,114000,漫画改热血奇幻战斗,5.9,3484,已完结, 全12话,17,1130,简介：架空战国时代的日本被未知生命体“鬼神”统治已有150年，唯有“武士团”反抗其统治，一直不懈抗争。武藏和小次郎也曾向往着武士，发誓有朝一日结成最强的武士团。可是，他们所生活的城镇却将鬼神奉为神明，将武士视为异端。武藏只能将梦想藏在心中，直到有一天，他遭遇了人类被鬼残忍杀害的一幕。为了重拾与小次郎的誓言，武藏向强大的鬼发起了挑战…！,,,,,
一周不死，全额退款,2283000,15000,58000,5503,20000,剧情喜剧动作,8.9,1943,90,7,414,简介：65岁的莱斯利在杀手界里已经算是个名副其实的老人了，职业杀手吃的是青春饭，老板给莱斯利定下了KPI，如果无法完成指标，那么莱斯利将被开除。能够信赖这么一个老人的客户渐渐的不多了，为了达成指标，莱斯利决定将自己的客户目标放在那些想要自杀的人身上。,,,,,,
疯狂神父,64000,1053,5027,288,4100,喜剧家庭,暂无评分,评分人数不足,92,1,30,简介：纳丘自幼父母双亡，他在墨西哥瓦哈卡的一家孤儿院度过了自己的童年时光。成年后他并未离开这里，而是以厨师的身份留在孤儿院为孩子们烧菜做饭。但是，孤儿院的生计开始陷入困境，因资金短缺，这里将面临着关闭的命运。纳丘不愿看到孩子们无家可归，为此他决定以蒙面摔角手的身份走上擂台挣得奖金。即为了那一双双充满期待的眼睛，也为了美丽的卡纳西昂修女……,,,,,,
超胆侠,723000,6912,16000,633,10000,动作犯罪惊悚奇幻,7.2,278,143,0,56,简介：律师马特在数年前为了救一命险些被货车撞倒的老人时，意外接触了一种放射性物质，这使得他双目失明，不过马特的其他器官却因此变得比常人灵敏百倍，即使不靠双眼，他也能洞悉身边发生的一切。马特有一名漂亮的女友，希腊大使的养女伊莱莎，两人过着甜蜜的日子。一次，马特的父亲不幸受到歹徒加害而罹难了，马特伤心之余，决定靠自己的力量去讨回公道。于是，这个罪恶的城市里多了一个与罪恶交锋的勇士——夜魔侠。,,,,,,
战斧骨,242000,3667,11000,381,5080,恐怖,7.6,136,132,1,29,简介：美国西部某个小镇，警长富兰克林·亨特夜晚射伤了一名可疑的流浪汉，随后他请来小镇医生萨曼莎为嫌疑人治疗。夜深人静，一名马夫遭到神秘入侵者残忍杀害，而嫌疑人和萨曼莎也消失无踪。,,,,,,
绝密档案之人间蒸发,67000,122,1712,31,4015,悬疑,暂无评分,评分人数不足,82,0,5,简介：警队的绝密档案，是指至今仍未侦破，科学查证又不能合理解释的悬疑案件。阳任职警察部专案小组十多年，对这些谜题甚感兴趣，奈何职权所限，遂决定与好友Judy请辞警队并成立天眼研究所。成立第一天，一位神秘人物出现，提供经费并留下Helen的失踪档案。经调查后，二人发现Helen与失落文明玛雅文化有关，考古学家推论这文明乃外星人所建立，更与末日预言扯上关系。,,,,,,
阿古顿巴,3868,11,116,10,68,少儿,暂无评分,评分人数不足,已完结, 全26话,0,2,简介：聪明善良、充满智慧的阿古顿巴生活在美丽的青藏高原。这里有美丽的雪山、宽广的青稞田，还有勤劳善良的人民。然而，贪婪霸道的宗本老爷、糊涂昏庸的老领主，还有刻薄狡猾的奸商，无一不在盘剥着朴实的百姓们。阿古顿巴在好朋友顿珠、次仁老爹、卓玛梅朵等人的帮助下，和权贵老爷们斗智斗勇、巧妙周旋。聪明的小狗嘎嘎，也是阿古顿巴的得力助手，每次都会帮助主人把坏心肠的老爷们折腾的人仰马翻。,,,,,
阿古顿巴 第二季,3649,2,116,6,45,少儿,暂无评分,评分人数不足,已完结, 全26话,0,0,简介：在雪域高原的山南地区有一个平凡的小村子，村里人世世代代、按部就班地过着平凡的日子，地主收租，农户种田，牧民放牧，卖杂货的走街串巷，村口还有一个小茶馆。突然有一天，不知从哪里来了一个四处流浪的人——阿古顿巴，打破了村民们平静的生活，故事就从这里开始了。,,,,,
百变布鲁可 第五季,90000,142,377,37,253,少儿,暂无评分,评分人数不足,已完结, 全20话,0,0,简介：《百变布鲁可》是葡萄动画专为2-6岁儿童成长启蒙打造的3D动画。本季中，布鲁可小队和小朋友之间的救援故事，依旧在葡乐镇精彩上演着。布鲁可小队在冰冻的河面上，帮助饥饿的大白熊捕鱼；在“变装派对”中，救出被大猩猩掳走的毅恩；和小朋友们一起寻找外星陨石；一起清理化工污染，守护葡乐镇的水源清洁……还有新出现的英雄——葡萄队长，也将肩负起对抗坏蛋的任务，和布鲁可小队一起开启更广阔的征程……布鲁可小队和小伙伴们彼此帮助，不仅收获了科学小知识，也明白了很多生活道理，在精神上获得飞快的成长。,,,,,
百变科小比 第二季,5055,--,99,1,52,少儿,暂无评分,评分人数不足,已完结, 全26话,0,0,简介： 在美丽的机器人小镇，有一位神奇的科小比，他每扫描一本书，就能变身成为书里的角色并拥有其相应的能力，为朋友们解决生活中遇到的问题，破解小皮小喳的恶作剧。,,,,,
公众人物,28000,43,697,53,852,社会,暂无评分,评分人数不足,已完结, 全1集,0,1,简介：《公众人物》探索了我们对社交媒体日益痴迷的问题，以及我们在网上看到的是现实还是完全的幻觉。我们关注全球社交媒体多位网红的生活——从纽约到洛杉矶、多伦多、温哥华和南非的约翰内斯堡。在我们的采访中，网红博主们向我们展示了他们如何把自己的生活变成了工作，同时也表达了他们个人对网瘾的担忧。与此同时，临床心理学家和咨询师告诉我们社交媒体和现实生活互相交错的短期和长期影响。,,,,,
72家房客 第十五季,4572000,16000,78000,3075,13000,剧情搞笑,9.8,225,已完结, 全120集,0,75,简介：描述房东与房客的较量，以及街坊生活的酸甜苦辣。剧中场景、道具等都进行了精心制作，灯光系统基本全部更新，相信新一季的制作会让观众有全新的体验。此外，该季人物之间会有更多不同际遇的变迁，太子炳的生意、发仔和阿香的爱情、三六九与牛局长的斗智斗勇等，都值得期待。,,,,,
在哥伦布,30000,100,1644,93,3353,剧情,暂无评分,评分人数不足,104,0,4,简介：因父亲昏迷从首尔来到哥伦布的金，巧遇当地少女凯西，两人展开城市建筑巡礼，互相倾吐焦虑与憧憬，渐渐渗透冰冷的建筑体，敞开情感的裂缝。面对居民与游客身份的易位，生死的来去，他们也如空间中的物件般，学会在新的关系中，再次挪动与重新安置自己。,,,,,,
SOS！超危职场人,2465000,8066,87000,39000,120000,原创搞笑日常泡面,9.6,1734,已完结, 全7话,2,842,简介：新人左大石初入职场，本想大展拳脚，却不料工作中危机四伏——人事铁石心肠、客户冷若砒霜；考勤逼人入土，开会走投无路！但他偶遇了鸟人三多！它有求必应，救人于水火；损招频出，陷人于黑锅。总之，今天的职场危机解决了！至于明天工作保不保得住，那不是三多要考虑的。温馨提示：切勿模仿本片操作！看番学招，饭碗难保。,,,,,
寻宝假期,102000,791,5213,223,3849,喜剧悬疑冒险,暂无评分,评分人数不足,99,0,24,简介：俄勒冈的汤姆、杰瑞、丹和比利是四个从小玩到大，喜好冒险和刺激的朋友，二十岁那年，比利出门远行告别了三人。十年以后，比利在旅行中因事故身亡，三个老伙计再度在葬礼上重逢，三十而立的的三人生活各有烦恼。,,,,,,
绝密档案：迷失世界,36000,57,1712,40,3122,惊悚,暂无评分,评分人数不足,85,0,1,简介：Tammy发现自己患上梦游，她知道自己入睡后曾经外出，并带回了一些不属于自己的物品，身上染上不属于她的血迹，她为此而感到十分震惊，因为她想不起自己曾作过何事。Tammy找上了天眼侦缉研究所，要求Sam对她作出调查...,,,,,,
星座狗联盟,87780000,10000,34000,8497,725000,搞笑日常校园,暂无评分,评分人数不足,连载中,无,无,简介：哈小浪是个热心乐观的10岁男孩，他既搞怪又冒险，经常制造出许多麻烦事，但他也会尝试去解决问题。不管最终导向的结果如何，哈小浪总能以乐天满血的状态和他的小伙伴们一起开启每一天精彩又好玩的日常生活。,,,,,,
里亚德录大地,60276000,282000,1586000,235000,772000,小说改穿越奇幻,9.2,20564,已完结, 全12话,54,6382,简介：一场不幸的事故，让名为各务桂菜的少女不得不在生命维持装置里度过一生。只有虚拟现实大型多人在线角色扮演游戏《里亚德录》是她唯一的自由。而就在某一天，生命维持装置忽然停止，桂菜也失去了生命。但是当她再次睁开眼睛，映入眼帘的世界竟然是200年后的《里亚德录》。作为名叫“葵娜”的高等精灵并拥有失落的技能和突破极限的能力值， 她决定和这里的人们加深交流。而且自己亲手创建的“孩子”们也在这里……！？穿越到游戏世界里的少女和她极具个性的同伴们，充满欢笑与泪水？的悠闲冒险谭，就此开幕！,,,,,
新洛神,1188000,9067,6003,475,5017,古装剧情,暂无评分,评分人数不足,已完结, 全68集,1,30,简介：故事发生在公元204年，曹操（李进荣饰）父子四人与许禇（李泽晓饰）起兵攻打邺城，眼看后宫不保，袁母让年轻的嫔妃逃跑，自己则要保节寻死。袁绍（于子宽饰）兵败后，曹操入城，曹丕（张迪饰）对被迫献舞的甄宓（李依晓饰）一见倾心，面对儿子骄奢淫逸，曹操甚是恼怒，将其子发配边关。甄宓为保贞节自缢被曹植（杨洋饰）救下，两人日久生情不表。得胜回朝的曹丕对甄宓念念不忘，甄宓以曹丕放弃与三弟争夺世子之位为条件，否则不嫁于他。不明就里的曹植以为甄宓变心，暗自伤情，得到甄宓的曹丕违背诺言，簒得魏王之位，甄宓痛恨曹丕的背信弃义，...,,,,,
新圣水湖畔,20000,25,140,12,65,剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：《新圣水湖畔》是由山西作家影视艺术制作有限公司出品的当代农村剧，原名《湖畔新村》。在党中央富民政策的指引下，湖西村的生产发展了，农民也富了起来，被县里定为了小康示范村。村党支书黄金贵想用村里的一笔结余款在湖西上建立一座“星级”的“水上乐园”来招引更多的旅客，从而增加收入，安排村民就业，使村民们都富起来。,,,,,
梅花儿香,244000,173,562,80,388,剧情,暂无评分,评分人数不足,已完结, 全49集,0,1,简介：袁梅花拥有一个幸福的家庭，但为了照顾女儿和婆婆，她放弃工作。然而一场变故，让原本和睦的家庭濒临崩溃。梅花为了挽救家庭忍辱负重，但还是以离婚收场。生活的变故，并没有击垮梅花，她靠自己的努力，在朋友程有信的帮助下，开始重新创业。俩人不但把生意做好，还在合作中萌生爱意。当程有信和梅花的前任都想复合时，梅花突然听到程有信准备和前妻回美国，于是赶往机场向程有信求婚。两人为爱情而守候，为事业而奋斗。梅花的善良自信和果敢坚定，让她不但拥有了成功的事业，还她收获了幸福的爱情。,,,,,
生死桥,23000,49,260,11,93,剧情,暂无评分,评分人数不足,已完结, 全32集,0,0,简介：一条天桥，架起一条从凡间到天上的路。从这条路上走出的，还有三个孩子飘荡的俗尘里的传奇故事。清末的北京喧闹、纷乱，人们的喜乐哀愁和那时的阳光一样直爽和不加阻拦。在科班中长大的怀玉（贾乃亮饰）和好朋友志高（王泊文饰）就是在这样的阳光下恣意地成长着。孤儿怀玉骨子里爱戏，但就好像他迷惑不清的身世一样，抚养他长大的班主李盛天（关栋天饰）始终绝决地拒绝他学戏。然而戏曲、科班里的一切对于怀玉而言，似乎有中宿命般的吸引。成角儿，是他幼小心灵中模糊但坚定的信念。志高是个生来贫贱的孩子。做暗娼的母亲将他抚养长大，唯一的...,,,,,
