电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,
神奇的老字号,13661000,11000,50000,19000,347000,人文历史神秘社会,9,235,已完结, 全8集,0,76,简介：《神奇的老字号》纪录片由天猫出品，共计8集，每集时长30分钟，以周更上线。纪录片以京杭大运河为主线，以7省市（浙江、上海、江苏、安徽、山东、天津、北京）为载体，覆盖30个老字号品牌，从人文故事、品牌工艺、地域文化等不同角度阐释老字号生生不息的“神奇”传承和创新，通过这份厚重的历史挖掘中华商业文化的根本，引发年轻人对于当代生活的思考。,,,,,
恶魔蛙男,678000,5422,16000,481,7507,剧情犯罪惊悚漫画改,4.8,281,132,0,55,简介：大雨瓢泼的都市，邪恶欲望肆意横行。不经意间残忍而血腥的猎奇案件接连发生，有的人被饿犬撕咬而死，有的人被割掉和出生时同样重量的肉而死掉，有的被平均切成两半分送给妻子与情人，有的则被冻在冰柜中永葆不老的青春，更有人嘴里被塞满了大大小小的钉子。,,,,,,
迷途英雄,144000,826,6613,290,5737,剧情喜剧,暂无评分,评分人数不足,89,0,17,简介：九一八事变后，东北沦陷，天津某剧社演员陈彼得不甘当亡国奴，立誓要做民族英雄。一日，正当剧院上演爱国题材话剧时，男一号罢演，救场如救火，导演只好让陈彼得顶替，结果大获成功，台下看演出的宋将军对陈的表演大加赞赏。,,,,,,
要钱不要命,244000,1821,8406,600,5838,剧情犯罪传记,9.2,165,116,2,31,简介：该片取材于美国乐坛的常青树50Cent的成长故事，从小在街头讨生活的50Cent怎么也想不到自己会有功成名就的今天。故事讲述一个热爱音乐的毒品贩子如何脱离乌烟瘴气的黑社会，在乐坛打拼的经历。,,,,,,
三女休夫,207000,1654,4398,193,5190,喜剧奇幻,暂无评分,评分人数不足,89,0,23,简介：故事发生在明朝某年。阙里侯是个富家少爷，整日沾花惹草、为非作歹。这日，他正调戏一名美貌孕妇，被路遇的张果老救下。张媒婆贪恋阙家银两，把邹家小姐说给阙少爷，正当阙里侯內心正美时，他头上突然长出了两支长长的驴耳，吓坏了邹小姐。,,,,,,
人物杂志犯罪调查 第四季,363000,1649,68000,520,13000,社会罪案,暂无评分,评分人数不足,已完结, 全12集,0,6,简介：调查发现与《人物》杂志合作，重新调查近年来一些最引人注目的犯罪案件。这个系列节目带给观众的是背叛、秘密和无名英雄的故事，这些故事是从美国顶级周刊上撕下来的。这些故事超越了新闻，成为流行文化的一部分，揭示了令人震惊的转折、新证据和意想不到的解决方案。每一集都穿插着对《人物》记者的独家采访、档案镜头、重现以及最接近调查的人的第一手报道。,,,,,
邪恶的信号,1035000,1827,15000,658,11000,社会罪案,暂无评分,评分人数不足,已完结, 全8集,0,6,简介：每一个变态杀人狂都有迹象。你会看到他们吗？重温一些现代史上最危险的杀手，看看他们表现出哪些精神变态的特征。以真实的档案片段为特色。,,,,,
朤月东方—中秋梦幻,687000,2808,6434,7629,26000,音乐,暂无评分,评分人数不足,已完结, 全1集,0,15,简介：东方卫视《朤月东方--中秋梦幻夜》全新赋能“海派国潮”这一主题，打造“先锋”的潮流和“复古”的底蕴相互融合的“中国制造”。晚会以创新沉浸式体验手段贯穿全场，选择传统地标与当代城市建筑，通过实景拍摄结合新科技虚拟手段，带领观众穿梭于情景交融的古今长卷，展现一副生动形象，妙趣横生的中秋民间生活画轴。,,,,,
时代少年团2021火力全开演唱会,180000000,5668000,1409000,1404000,3974000,演唱会,9.8,23992,已完结, 全2集,76,12500,简介：时代少年团作为有一定影响力的公众团体，始终都坚持用舞台和作品向观众传递向上的精神，积极承担自身的社会责任。本次演唱会体现的传统文化精神、不放弃的奋斗精神、温暖治愈的能量传递、活力元气的新青年形象等，符合和弘扬社会主义核心价值观。本次火力全开演唱会用优质的文化作品产出，为广大粉丝群体做出表率和引领。,,,,,
博士的爱情方程式,97000,979,6258,358,3840,剧情爱情家庭小说改,暂无评分,评分人数不足,117,1,29,简介：由于一场车祸，执迷数学的博士患上了奇怪的失忆症。从此他只能保有80分钟的记忆，80分钟过后，一切人和事就如同崭新的开始，因此他必须时刻在身上贴上纸条提醒自己一些重要的事情。,,,,,,
007之俄罗斯之恋,429000,4741,383000,729,6601,爱情动作惊悚冒险,9,198,115,1,35,简介：雷迪是魔鬼党的头号杀手，一直从未失手。由于007屡次破坏魔鬼党的好事，魔鬼党决心除掉他，于是放出情报说英国军方一直渴望得到的密码机在俄国。,,,,,,
007之女王密使,269000,3423,383000,331,4298,爱情动作惊悚冒险,8.5,117,142,0,25,简介：这次，阴谋家贝洛福在瑞士山区建立一个疗养院，表面上这是一个普通的高级疗养院，风景秀丽、服务一流，但实际上却是贝洛福进行的一项旨在控制全球的计划的重要基地。,,,,,,
007之金刚钻,208000,2843,383000,263,3790,动作科幻惊悚冒险,暂无评分,评分人数不足,120,0,11,简介：在生产钻石的南非，最近怪事连连，一大批未经切割的钻石失踪了，而且谋杀案频发。这些异常现象引起了英国当局的高度重视，于是007来到了南非。007以钻石批发商的名义展开了一系列的调查，发现一切原来都是他的死对头魔鬼党的首领艾纳斯在背后操纵的。,,,,,,
007之你死我活,233000,3227,383000,297,4096,动作惊悚冒险,暂无评分,评分人数不足,121,0,12,简介：007接到一单新任务，英国三名情报人员在美国遇害，英政府却无法查出凶手，007赶赴异邦调查真相，意外发现这宗案件不仅与邪恶的巫术有关，还牵涉到一桩将牵动全世界的毒品案件。,,,,,,
007之金枪人,202000,3447,383000,247,4009,动作惊悚冒险,暂无评分,评分人数不足,125,0,10,简介：世界上又多了一个杀人不眨眼的冷血杀手，注定又将引起一场惊涛骇浪。绰号金枪人的职业杀手几乎百发百中，没有他完成不了的任务，由此成为世界各恐怖组织争相高酬聘请的对象。,,,,,,
007之海底城,208000,3816,383000,336,4490,动作惊悚冒险,9.1,102,125,0,13,简介：近日，英国、苏联两国核子潜艇竟然相继离奇失踪了！这一现象引起了英国军方的高度重视，当然又到了王牌特工007邦德的出场时间。邦德经过调查终于发现幕后的黑手原来就是世界巨富航运业大亨史登堡，他为实现自己征服世界的野心，建立了一座海底城。,,,,,,
007之太空城,263000,4480,383000,378,4394,动作科幻惊悚冒险,暂无评分,评分人数不足,126,0,19,简介：从美国运送英国太空船半途失去了行踪，这引起了美英两国的高度重视，于是英国军方派出了007邦德前去追查。经过调查，007发现了这件事背后后隐藏的另一个阴谋。世界上某个组织正在在制造一种神经麻痹气体，该气体是由一种极稀有的尼格拉兰花提取出来的。,,,,,,
007之最高机密,246000,2892,383000,286,6763,动作惊悚冒险,暂无评分,评分人数不足,127,0,9,简介：英国军方一艘绝密的间谍船在希腊发生了爆炸，船上有一个威力无比的发射机（据说它可以使整个北极星飞弹系统全部报废）沉入了海底。这下，不仅英国军方，还有世界各地的间谍、恐怖分子都开始蠢蠢欲动。,,,,,,
007之雷霆杀机,223000,2611,383000,257,3650,动作犯罪冒险,暂无评分,评分人数不足,132,0,12,简介：这次，007在西伯利亚死亡的英国特工身上找到了科技秘密“微晶硒”之后，发现这个样品与英国的样品一样，证明克格勃的间谍肯定混进了英国的高科技研究秘密领域。于是，007奉命去调查在进行高科技研究的富商佐林。,,,,,,
007之黎明生机,299000,3783,383000,491,4063,动作惊悚冒险,9.5,117,130,0,24,简介：东西双方处于针锋相对的奇妙情势。KGB内部有些人为了自己的私利，搞出了一系列的阴谋，首先是科斯柯夫假向西方"投诚"，并道出KGB准备进行一项名为"特务飞龙"的计划，目的是消灭00组的特工。,,,,,,
007之杀人执照,272000,3616,383000,417,3763,动作惊悚冒险,暂无评分,评分人数不足,133,1,16,简介：007邦德和好友赖特在南美洲追踪毒品大王桑切斯，不但被狡猾的桑切斯逃脱了，而且赖特还掉进了桑切斯的陷阱――一个鲨鱼池。虽然最终赖特保住了性命，但他却失去了一双腿。上司要求邦德停止追查，然而报仇心切的邦德执意要追查到底，被没收了他间谍独有的“杀人执照”。,,,,,,
007之黄金眼,630000,11000,383000,948,7066,动作惊悚冒险,8.9,246,130,1,32,简介：我们的邦德又回来了!这次的任务是找回被苏联偷走的黄金眼——黄金眼是一种新式的电磁波武器。007经过缜密调查，发现背后的黑手是曾经和他一起出生入死的好兄弟——006艾利克。,,,,,,
007之明日帝国,720000,7965,383000,775,6063,动作惊悚冒险,9.3,192,119,0,25,简介：英国海军的德文郡号军舰在中国领海内被遭到不明鱼雷攻击沉没。为了查明情况，英国海军决定动用武力，派出军舰前往出事海域进行反击。然而却被秘密情报负责人M阻止，并派出代号007的情报员詹姆斯·邦德去查清真正的原因，避免两国之间一触即发的战争。,,,,,,
007之黑日危机,978000,10000,383000,1119,9447,动作惊悚冒险,9.2,217,128,0,27,简介：这次007对手是臭名昭著的国际恐怖分子雷纳德。为了垄断石油供给权，雷纳德杀害了石油大亨罗伯爵士，当然他也不会放过罗伯爵士的继承人——美丽的依蕾克屈，这个狂人甚至威胁说要在土耳其巨大的输油管道里引发核爆炸。,,,,,,
007：大战皇家赌场,3213000,42000,383000,8225,28000,剧情动作惊悚冒险,9.7,1870,144,0,282,简介：英国军情六处特工詹姆斯?邦德这一次的任务是在赌场上赢取俄罗斯间谍手中的巨额财富，让其背后的恐怖组织势力无法达成阴谋并且击垮恐怖组织。这次，邦德有了一个漂亮的得力女助手琳德。,,,,,,
007：大破量子危机,2015000,15000,383000,2863,14000,动作惊悚冒险,8.3,611,106,0,66,简介：由于爱人维斯佩的背叛，邦德的怒火被彻底激发，甚至在执行最新任务时都不得不尽量克制个人感情，以免把这次任务升级为个人恩怨。通过与M对白先生的审问，得知维斯佩是被一个难以想象的犯罪组织所要挟。,,,,,,
007：大破天幕杀机,3698000,37000,383000,6718,25000,动作惊悚冒险,9.4,1183,143,3,178,简介：数月前军情六处一块记载了潜伏于全世界恐怖组织内部所有特工名单信息的硬盘丢失，而追索硬盘的行动也以失败告终。在此之后，行动主要负责人M被高层解雇，而军情六处也遭到惨烈的袭击，伤亡惨重。,,,,,,
007：幽灵党,3776000,35000,383000,5739,24000,动作惊悚冒险,7.9,935,148,3,126,简介：一个来自过去的加密信息让詹姆斯·邦德开始了一个神秘任务，从墨西哥城到最终的罗马，在那儿他邂逅了美艳的露琪亚·斯琪拉，而她则是一名臭名昭著的意大利黑手党寡妇。,,,,,,
