电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
明日边缘,9380000,76000,359000,40000,77000,动作科幻小说改,9.7,12501,113,34,2594,简介：未来世界陷入外星人入侵的恐慌中，军事演说家凯奇少校（汤姆·克鲁斯 饰）畏惧上战场，他从没想过将军会让他去指挥即将开始的“诺曼底战役”，拒绝接受命令之后将军居然恶整了他，那就是把他当做逃兵扔进了军营中。凯奇被归入了J小队中进行战斗，战役的第一天就惨死在战场，没想到这一死让他拥有了时空循环的能力，而唯一相信他的人就是被称为“全金属战士”的丽塔·沃拉塔斯基（艾米莉·布朗特 饰）。二人开始了时空循环作战……,,,,,,,,,,,,,
赛马皮特,82000,239,2860,155,3034,剧情冒险小说改,暂无评分,评分人数不足,121,0,8,简介：单亲家庭的男孩一直在寻找安稳和归属，他将最亲密的情感寄托在赛马皮特的身上。当皮特输了好几场比赛，即将被送往屠宰场的时候，他连夜奔赴多年未联系的姑姑家……,,,,,,,,,,,,,
7月22日,19191000,251000,1152000,94000,140000,原创日常萌系音乐,9.3,13972,已完结, 全13话,94,4973,简介：泷川美羽突然收到来自演艺事务所“G.I.P”的一封信。信上说被选为某个新项目的成员。她半信半疑地去了信上的地方，被命运引导一样地聚集了，包含美羽在内的的8个少女们。“你们将作为偶像组合正式出道”——被自称是合田的男子指引着，出现在她们眼前的是地下的绝密设施和神秘的“墙壁”。美羽8人向着光与暗交织的命运舞台迈进……就这样前所未有的新偶像诞生。,,,,,,,,,,,,
理科生坠入情网，故尝试证明。,57833000,893000,3811000,535000,451000,漫画改日常搞笑校园,9.7,50696,已完结, 全12话,104,15273,简介：如果对研究充满热情的科学女孩和科学男孩坠入爱河怎么办？彩玉大学理科研究生的才女，冰室菖蒲向同一实验室雪村心夜告白。当然“喜欢”是没有逻辑根据的！但是，作为理工学专业的学生，“如果不能用逻辑证明自己的喜好，就不能说是喜欢，作为理科也不合格！”以那个信念为基础，两人卷进研究室的成员关于“恋”的定义的证明实验即将开始！约会实验，了解喜欢的构成要素，测量心率实验，情绪值的测量……个性过强的理科生们用逻辑证明“恋爱”有笑有心跳的理科爱情喜剧！,,,,,,,,,,,,
狗狗最好的朋友,998000,4458,34000,9995,2996,动物自然,暂无评分,评分人数不足,已完结, 全12集,0,31,简介：如果你以为狗狗的朋友只是人类的话，那就大错特错啦！其实狗狗们也与一些奇妙的动物建立特殊的感情，想看到狗狗与乌龟和谐相处，互相依偎，共赏夕阳的场景吗，你见过狗狗与鸭子建立友谊，和平共处的场景吗，你见过狗狗与猎鹰相互合作，追捕猎物的场景吗，如果这些你都没看到过，请尽情欣赏《狗狗的最好朋友》吧，在这里你将看到许多让你意想不到的动物组合。,,,,,,,,,,,,
德意志零年,228000,800,32000,519,2535,剧情战争,暂无评分,评分人数不足,72,1,9,简介：这是12岁的Edmund的世界，他只知道动荡和暴力，在千疮百孔的柏林废墟中为了生存而努力。他的父亲因营养失调患了重病；哥哥以前是纳粹士兵，为避免被逮捕而躲在家里；他的姐姐则慢慢沦为娼妓。Edmund遇到了从前的老师Herr Enning，后者为他提供希特勒的演讲录音到黑市上去卖……,,,,,,,,,,,,,
情陷中英街,15000,2,360,1,38,情感年代,暂无评分,评分人数不足,已完结, 全21集,0,0,简介：欧阳天峰（巫刚 饰）与何氏家族的何碧莲（陶红 饰）是从小就在中英街长大，两小无猜，青梅竹马。1949年中华人民共和国成立，中英街被中英两国政府分街对峙，本是街坊邻里，本是一家却被一块界碑隔离开来。此时的天峰和碧莲也都已经长大成人，两人相亲相爱，却因为一块界碑不能携手夫妻。在建国初期住在中英街两边的人们总是担心中国军队与英国军队交火，怕家人生命安全没有保证。此时的天峰还只是一个渔民小伙，虽然已经有了相亲的对象，但在他心里只有生活在英属街的碧莲。他们为了见一面要穿越边界，还引起不少国际纠纷。 进入建设时期，国民...,,,,,,,,,,,,
正义永恒,23000,49,285,2,18,剧情,暂无评分,评分人数不足,已完结, 全24集,0,1,简介：文丽是东方电子的CEO，年轻漂亮的电脑工程师，暗地里却在搜集调查其仇人张广富的资料，准备为其父报仇。苏茉莉是其父曾资助过的贫困学生，为了给恩人报仇，她打入张广富集团的内部，为姐姐文丽提供资料。张广富是一个民营企业家，他的公司正在策划“广富高科”上市的事情，就在他为这事去省城的时候，文丽通知了在大岳蹲点的阿龙，顺利偷走了锁在保险柜里的一台手提电脑。张广富对外宣称这台手提电脑里有企业的商业机密，张广富利用在警方渗透的力量，在大岳市展开了大规模的搜查行动，成立了4。20专案组。文丽谎称舅妈生病想要她带男友回大岳...,,,,,,,,,,,,
立案侦查,453000,13000,7098,469,1859,悬疑,暂无评分,评分人数不足,已完结, 全24集,0,7,简介：《隐私作家》某夜总会，雷鸣、王川执行一次突击检查任务时，发现了一名神秘的女子。她叫陈云湘，是小有名气的美女作家。混到一堆小姐里体验生活。陈云湘盛情邀请王川和雷鸣前往她签名售书的现场。王川、雷鸣如约前往，遇见了陈云湘、卢大勇和一个风度翩翩的中年男人，陈云湘介绍说这是她的出版商王建舟，正在负责操作她的自传本新书《裙书》，马上就要出版。在场的还有一个女诗人周眉。刑侦队办公室，王川急匆匆地进来，他刚接到何苗的报案，陈云湘在自己家中被杀身亡。在排除了一系列线索后，雷鸣和周眉展开交锋。周眉的解释合情合理，眼看线...,,,,,,,,,,,,
我爱我夫我爱子,165000,1756,1011,718,267,剧情家庭,暂无评分,评分人数不足,已完结, 全30集,0,4,简介：该剧讲述了一段平民百姓的生活故事。林昭顺和蔡心兰是海边渔村上一对令人羡慕的恩爱夫妻，二人育有四个稚龄儿女，家中虽不富裕却能节俭度日，一家人过着幸福安定的生活。昭顺平日为人正直诚恳且热心助人，却遭人陷害。一夜之间昭顺投资的渔船被烧毁，欠下大笔债务，家中生活因此产生巨变。为了能按时还债和维持家庭生计，昭顺不得不离开家庭，签下卖身契，随远洋渔轮出海打鱼。从此心兰挑起家庭重任，她咬紧牙关，每天辛苦工作早出晚归。甚至有时候家里三餐不济，看着孩子们饿肚子，心兰她自己不吃，省下给孩子们勉强填饱肚子……,,,,,,,,,,,,
爱情帮你办,37000,228,760,398,571,情感剧情,暂无评分,评分人数不足,已完结, 全23集,0,0,简介：《爱情帮你办》是继《编辑部的故事》、《我爱我家》之后又一部情景喜剧之作。主要舞台是一个平常人感情生活有着密切联系的恋爱婚姻服务中心这个舞台有四个主要"演员"，一个是从事了一辈子街道妇女工作的老太太扬金英（韩影饰）；一个是总发表不了作品的女作家叶斯婕（宋春丽饰）；一个是心理学硕士夏妤（瞿颖饰）；唯一的男性叫王菘（谢园饰），他是推销电脑软件的，却身不由已地和三个女人唱起了一台戏。《爱》剧以这个小舞台为中心，向观众展现了生活在当代中国社会的不同年龄、不同职业、不同性格的男人和女人，在爱情、婚姻、家庭方面所遇...,,,,,,,,,,,,
今冬不言情,32000,14,603,14,60,情感刑侦,暂无评分,评分人数不足,已完结, 全24集,0,2,简介：《今冬不言情》讲述的是剧中讲了几个家庭的情感故事，每个家庭都在闹离婚。主人公谢晓华跟吴巧云更是一对活宝，两人离婚后分别再婚竟然又分别想离婚而后再复婚。丁怡兰被塑造成虚荣的女人，所以老公一当上局长她就重回老公怀抱，把身患绝症的旧情人又抛在一旁。记者杨杰就是正人君子，陈志纯就是个玩弄女性的流氓，罗琳就是个嫌贫爱富的坏女人。,,,,,,,,,,,,
护士小姐,30000,421,546,131,187,情感剧情,暂无评分,评分人数不足,已完结, 全20集,0,2,简介：白衣天使是这个时代最可爱的人，它们无私的精神感动了所有中国人。20集电视剧《护士小姐》正是反映这些可爱的女性在工作、生活中所发生的故事，展现出动人心弦、酸甜苦辣的人生百态。 本剧每集都会因不同新病员的登场而产生新的波澜和逸事——其中有黑夜潜来的凶狠逃犯；行踪诡异屡次“谋害亲夫”的现代“潘金莲”；孤僻乖张寻觅家园的怪老头；企图讹诈的车祸“受害者”；三番五次自杀未遂的第三者插足小青年；见义勇为不成反遭冷遇的外地傻小子；撕下“白马王子”外衣的吸毒款爷；还有洋相百出的草台班子摄制组，在死亡面前恐惧颤抖的著名大歌...,,,,,,,,,,,,
落差,12000,16,204,4,34,剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：乡村佳丽潘小瑜是酒店迎宾小姐，她至善至纯，从不相信世上有丑恶存在。但不知道，自己一开始就掉进了城市的陷阱。坚持数年匿名捐助的大学马景瑞，不仅是个赌徒，还骗取了她纯洁的感情。当懦弱和无知最终害得这个纯美少女走投无路时，她在勇敢的反抗中获得了新生......,,,,,,,,,,,,
风云变,237000,2275,1182,1436,3718,剧情,暂无评分,评分人数不足,已完结, 全20集,0,5,简介：本剧以金融风暴后的香港为背景，讲三个不同背景与性格的女生及周边所发生的事情来揭露人性，男女间感情，友情交错穿插在事业和家庭中构成了千丝万楼的奥妙关系。方家怡与沈希凡是要好的同学，情同姐妹，家始纯朴善良，嫁了马来西来华裔人庄沛权，希凡美丽而能干，是众人皆赞美貌与才智兼备的少妇。在沛权的酒会上，凯薇邂逅青年潇洒的医生叶家骥，凯薇与家骥瞬即坠入了爱河，但家骥已有未婚妻。在凯薇奉上肉体与灵魂给家骥不久，二人的关系即被未来岳父发现，家骥选择了金钱而放弃凯薇。沛叔常独自在外寻欢作乐，不久家怪发现他对她不忠悲伤的...,,,,,,,,,,,,
碧波仙子,494000,7982,1968,6824,8268,奇幻古装,暂无评分,评分人数不足,已完结, 全48集,0,2,简介：赴职的李安在碧波湖畔被余县贪官授意的恶霸杀害，红鱼未能及时搭救，只能将他藏在碧波洞里，而自己为寻找真凶扮作李安为官，凭借智慧连破奸人诡计，震慑奸佞。后来，红鱼因为无法面对李安的母亲和满腔痴情的赵秀，毅然舍弃三片金鳞，救活李安。复活后的李安雷厉风行，有红鱼相助，如虎添翼，二人联手为查明要案和余县的贪官、恶霸、土匪连番斗智斗勇，并最终除暴安良，保一方平安。,,,,,,,,,,,,
真情无限之养母生母,71000,39,542,28,144,剧情情感,暂无评分,评分人数不足,已完结, 全25集,0,1,简介：《真情无限之养母·生母》由周耀杰导演，徐露、王茜华、李小萌、王雷、李颖、牛飘主演。该剧讲述了三位不同阶层的母亲与一对龙凤胎儿女之间爱恨纠结的真情故事。夏蓉初入社会时被逼生下一对双胞胎被父亲分别送给两家收养。20年后，养母为救了白血病的女儿，找到夏蓉，揭开了隐藏20多年的秘密。,,,,,,,,,,,,
锁定美军特使,76000,73,584,12,126,战争剧情,暂无评分,评分人数不足,已完结, 全32集,0,0,简介：《锁定美军特使》讲的是抗日战争期间新四军以及国民党军队肩负的一项特殊使命。为了先营救到掌握军事机密的飞虎队飞行员，郑大勇带领新四军，与王江义率领的国民党营救队展开竞赛，不过经历重重困难，两支本为对手的部队由猜忌走向信任，由相互较劲走向合作。《锁定美军特使》展现了一段非常的岁月，一番悲壮的战斗，炮火之中的友情，生死线上的爱情。,,,,,,,,,,,,
奶站风波,19000,3,125,6,19,农村励志,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：电视连续剧主要讲述了白成刚从农村走出去，在外闯荡十年，并且拥有了五家连锁酒店，衣锦还乡的回到了家乡。在白成刚的努力下，他们村子成为了县里的龙头村子，并且建立起来了奶牛合作组织还有旅游业股份制集团公司，村民们 过上了好日子，而这个时候白成刚却离开了村子，踏上的新的道路。,,,,,,,,,,,,
护花奇缘,256000,944,5553,67,879,剧情,暂无评分,评分人数不足,已完结, 全31集,0,12,简介：这天江南某县城内的云来客栈，先后出现了四位绝色佳人，各具美态，令阅人无数的客栈老板福伯，亦不禁赞叹天公造化的神奇。第一位就是京城首富官堂的千金官青青，她本已许配了人家，婚期将近，偷溜离家，花轿临门，新娘却逃跑了。第二位就是当地的小家碧玉胡娇，她本与三郎青梅竹马，互有爱意，但她实在受不了三郎的贫穷。最大的愿望就是嫁个有钱人，她背弃三郎为自己的理想婚姻寻寻觅觅，坚持希望在人间。第三位却是长住客栈的女客艳芬芳，她是一位过气名歌妓，身染痨病，以积蓄维生，整天痴迷地幻想当年结识的王孙公子，终有一天会信守盟誓，...,,,,,,,,,,,,
走到尽头,64000,16,829,16,128,悬疑刑侦,暂无评分,评分人数不足,已完结, 全18集,0,0,简介：上天入地，也要让你无处遁迹。一场强大警力与黑恶势力的殊死较量……被逮捕的罪犯兰小军，在周密的计划下趁夜越狱，并潜逃到同伙家里，取走藏在那里的十二颗手榴弹，逃至固海市后销声匿迹……。固海市公安局获悉，将其列为“极度危险分子”，成立以邢警队长李韶华为首的专案组，动用强大警力，力求将兰这颗“隐形炸弹”尽快缉拿归案。与此同时，一走私暴力集团头目沙州雇佣的杀手也来到了被炸弹疑云笼罩的固海市追杀兰小军，因为兰知道其许多不可告人的内幕：走私、偷窃，还有以市委办公室主任和邢警队副队长为首的保护伞，此二人也常向沙州通...,,,,,,,,,,,,
红丝带,15000,201,311,6,37,都市情感,暂无评分,评分人数不足,已完结, 全20集,0,0,简介：大陆剧《红丝带》的导演为杨晶，演员表为王辉,席与立,张志忠，属于“都市 ”类型的电视剧。主要剧情：杨佳雪是星兴广告公司的顶梁柱，她的老总钱伟豪带着一束鲜花向她表达爱情，被她拒绝了。杨佳雪及其男友唐明，还有苏有伦是大学同学，唐明现在国外留学，苏有伦则和佳雪在同一家广告公司供职。生活似乎很平静，直到有一天，杨佳雪发现自己成了艾滋病毒的携带者…………,,,,,,,,,,
你好，中国,3883000,19000,98000,22000,40000,人文社会,9.6,960,已完结, 全7集,0,219,简介：《你好，中国》是未来电视独家打造的7集人物纪实专题片，讲述7位洋面孔的“中国奇遇”。他们是一扇窗口，他们通过各自领域“改变着西方对中国的看法”。,,,,,,,,,,,,
清凌凌的水 蓝莹莹的天,444000,6096,2587,1426,1463,剧情家庭,暂无评分,评分人数不足,已完结, 全27集,0,20,简介：钱大宝（潘长江 饰）与钱二宝（姜超 饰）是同父异母的兄弟，大宝当村主任，二宝办企业，一个偶发事件让哥俩情感产生了裂痕。这天，大宝邀全村老少参加女儿多多（潘阳 饰）的毕业宴会，不料全体食物中毒送往医院，经查与二宝企业排污有关，连满一花（孙宁 饰）在水库中所养的鱼在集市上也无人问津。新任乡长陶晓蕙（原华 饰）是大宝的高中同学，大宝与其还有过过节，晓蕙对大宝处理中毒事件的结果很不满意，认为他偏袒二宝。被查封企业的二宝因生产合同所逼，偷偷撕掉合同重新开工。大宝为了众乡亲生存安危，不惜以抱兄弟跳井相威胁，逼二宝关闭...,,,,,,,,,,,,
清凌凌的水蓝莹莹的天2,209000,2789,940,1453,512,剧情,暂无评分,评分人数不足,已完结, 全36集,0,7,简介：上水村村主任钱大宝去参加县里“致富红旗村”的评比，以一票之差落后于下水村，而没有当选。在庆祝会上，钱大宝和下水村村主任郑老狠酒后打赌，一年之内产值超过下水村，郑老狠输了就来上水村给钱大宝拎包，钱大宝输了，就把女儿钱多多许给郑家当儿媳妇。两人当众画押。钱大宝深深陷入如何超过下水村的计划里，满一花非常支持钱大宝致富的想法，但是把村里能致富的产业都想到了，加一起产值也到不了一千万，这让钱大宝深深地陷在苦恼中。这时他接到正在省里某大学进修旅游管理的女儿钱多多的电话。钱多多告诉钱大宝，她争来了一个投资项目，把...,,,,,,,,,,,,
能人冯天贵,70000,1114,467,740,1102,剧情,暂无评分,评分人数不足,已完结, 全31集,0,1,简介：一部都市喜剧，讲述了在“能人”冯天贵的帮助下，一群农民工的媳妇在城里艰苦创业，几经周折，最终让城里人另眼相看的奋斗历程。一个偶然的机会，冯天贵结识了农民工谭有德的老婆沈秀枝，这让他与妻子之间本来就不和谐的婚姻产生了更大的缝隙。但是，经过一系列曲折之后，两人之间的误会终归化解。并且在冯天贵的穿针引线下，农民工的媳妇们用她们的勤劳和真诚，渐渐成了城市社区服务的一道亮丽风景线。,,,,,,,,,,,,
女村长,372000,944,681,515,498,年代农村,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：凤凰峪村新当选的女村官徐春兰为了改变村面貌，推进新型合作医疗发展乡村旅游。于树仁是凤凰峪村的老村长，竞选村干部时落选有些失落，于是对新当选的女村官有些偏见。徐春兰丈夫李长生出身中医世家，喜欢吹嘘张扬。本村妇女刘大凤原是接生婆，懂得一些偏方。老村长怂恿她与李长生唱对台戏。县医院的主治医生欧阳士林为了摆脱生活烦恼，主动申请到凤凰峪支援合作医疗。女村官仰仗欧阳改进卫生所，不久村里就传出欧阳与徐春兰的风言风语，致使李医生夫妻发生激烈冲突。剧中人物秋果难产、二桂癌症等一系列纠葛。老村长被徐春兰感化而转变，从而...,,,,,,,,,,,,
好歹一家人,69000,285,227,579,373,情感家庭,暂无评分,评分人数不足,已完结, 全29集,0,1,简介：孟大平的父亲老孟和荷花黄昏恋，姐姐孟婷带头找各种借口阻止。老孟假意找保姆与荷花继续来往，最终，荷花的善良感动了孩子们，满足了老人的心愿。孟大平再婚后，徒弟福子常照顾前妻孙月蓉并日久生情。孙月蓉却发现儿子中诚和福子的女儿彭洁早已相爱，孙月蓉难于接受。但福子被孩子们的爱情所感动，接受了这个事实。孟大平忙，冷落了妻子林玉茹，妻子搞起了网恋。大平的妹妹孟想假意打错电话设计结识了网络骗子，教训了这个花花公子。林玉茹认识到了自己的错误，双方用真诚找回了他们的爱情。孟大平的二弟孟二平被倒卖文物的骗，老父亲准备卖掉...,,,,,,,,,,,,
黄大年,14000,9,310,67,129,剧情,暂无评分,评分人数不足,已完结, 全6集,0,4,简介：电视剧《黄大年》以时代楷模、著名地球物理学家、吉林大学教授黄大年同志为原型，展现了他心有大我、至诚报国，教书育人、敢为人先，淡泊名利、甘于奉献的爱国情怀和高尚情操，用短暂一生书写新时代知识分子爱国情怀，把个人奋斗融入实现中华民族伟大复兴中国梦的感人故事。,,,,,,,,,,,,
真情相约,51000,162,343,396,143,家庭剧情,暂无评分,评分人数不足,已完结, 全20集,0,0,简介： 35岁的邱有利每天做着靠买彩票中大奖的发家梦，妻子刘艺冰虽然万般教育忍耐，但还是对邱有利靠买彩票憧憬生活的做法彻底失望，提出离婚。邱有利做生意，屡试屡败，刘艺冰始终默默地在背后帮助他。刘艺冰生产，邱有利提出要孩子的抚养权，遭到刘艺冰的反对。孩子需要移植肝脏。邱有利把自己的肝脏移植给孩子，得到了原谅。,,,,,,,,,,,,
嫦娥,351000,2887,3919,2865,1244,奇幻古装,暂无评分,评分人数不足,已完结, 全40集,0,14,简介：《嫦娥》的故事发生在她成仙之前，作为凡人的嫦娥活泼好动，外向开朗。她跟明道饰演的吴刚有婚约却没感情，和后羿（黄觉饰）相亲相爱。吴刚喜欢嫦娥却不会表达，偏偏 被吴刚救下的玉兔又爱着吴刚……四个人就在这种剪不断理还乱的感情中不停兜圈。最后嫦娥为了救下后羿而飞上月亮，玉兔不离不弃陪着她，吴刚也为了心爱的人来到月宫中……。,,,,,,,,,,,,
大潮如歌,33000,108,221,557,1827,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：改革开放初期，国家政策调整，计算机研究所进行变革。研究员张镇南萌生了开公司的想法，公司创立的过程极其艰辛。张镇南看准时机，领导研发了汉卡，随后与P&P公司合作进一步增强了公司的实力。在独立扛起国产电脑大旗之后，他们面对国内外众多集团品牌的激烈竞争，此时张镇南却又不得不和往日战友对簿公堂。然而，任何困难都挡不住张镇南想要走上更大舞台的决心，收购国际计算机业巨头P&P之后，张镇南和他的天驰公司站到了世界电子业的顶峰。,,,,,,,,,,,,
正义使命,239000,1222,1160,777,470,剧情刑侦,暂无评分,评分人数不足,已完结, 全26集,0,9,简介：铲除贪腐，捍卫法律，唤醒良知，警示世人，这就神圣的国徽赋予人民检察官的正义使命！本剧部分取材于真实案例，讲述了江州市检察院反贪局的检察官和侦查员们与形形色色贪腐分子做斗争并最终将他们一一绳之以法的故事。本剧力求将党的要求、国家的法律、政策和司法机关的职能融入剧情，以检察说社会，以社会说检察，生动的再现一个个精彩纷呈的案件，鞭辟入道的剖析出一段段洞察人性的启示……,,,,,,,,,,,,
幸福满满,17000,10,311,4,30,剧情,暂无评分,评分人数不足,已完结, 全31集,0,2,简介：故事从主人公乔迪好友李秋来的婚礼上开始，讲述了李秋来在婚礼现场放弃了乔迪与老婆为他介绍的未婚妻，并火速迎娶了漂亮的导游为妻。对此，乔迪的老婆刘佳诺心中十分不悦，一直为自己“被逃婚”的朋友感到不平。并把这些怒气及生活中的琐碎毫无保留地发泄到了老公乔迪身上。从此一场新时代的夫妻大战拉开帷幕，就此展开的故事精彩纷呈，家长里短贴近现代人婚姻生活被赵会南诠释的生动到位。,,,,,,,,,,,,
石榴的颜色,339000,4268,65000,5927,16000,传记剧情歌舞,9.5,430,77,2,115,简介：影片部分根据18世纪亚美尼亚诗人Savat Nova的生平拍摄，但更多地是以诗句代替了诗人的形象。全片几乎没有对白，主要是旁白和剧中人自言自语。,,,,,,,,,,,,,
阿波罗的新月,57000,167,2794,129,376,历史科技宇宙,暂无评分,评分人数不足,已完结，共1集,0,4,简介：阿波罗计划是美国从1961年到1972年组织实施的一系列载人登月飞行任务。目的是实现载人登月飞行和对月球进行实地考察，为载人行星飞行和月球探测进行技术储备。这项计划是世界航天史上具有划时代意义的一项成就。阿波罗计划始于1961年5月，至1972年12月第6次登月成功结束，前后历时约11年。其科技成果给航空航天及其相关各领域都带来了深远的影响。让我们跟随本片，重返当年那一个个激动人心的时刻吧……,,,,,,,,,,,,,
银翼杀手,4952000,34000,428000,18000,38000,科幻惊悚小说改,9.6,3651,117,18,770,简介：影片以2019年的洛杉矶为故事背景，描写一群与人类具有完全相同智能和感觉的复制人，冒险骑劫太空船回到地球，想在其机械能量即将耗尽之前寻求长存的方法。洛杉矶银翼杀手警察派遣精英戴克追踪消灭这些复制人，不料戴克却在行动时碰见美如天仙的女复制人，并且跟她坠入情网。,,,,,,,,,,,,,
裁女佳人,3479000,25000,173000,8775,27000,剧情小说改,9.2,1887,118,8,400,简介：改编自畅销小说，讲述的是富有魅力的女主人公缇莉唐纳基（凯特·温斯莱特 饰），一个受过情感创伤的人，回到她澳大利亚的家乡小镇，向那些曾和自己有过节的人展开复仇的故事。这是一部包含了爱，复仇，高级时装和喜剧色彩元素的时尚戏剧。,,,,,,,,,,,,,
行走距离,113000,2389,9056,1057,4366,剧情喜剧,9.6,235,102,1,85,简介：因身体肥胖而行动困难的费德每天只能待在家里过着单调乏味的生活，真到有一天他的姐夫拉蒙给他看了他们外出旅游时拍的照片。这激发起费德对摄影的浓厚兴趣。在相片冲洗店里，费德遇到了店主的儿子，一个酷爱漫画书的孤独少年保罗。费德慢慢地发现摄影对他来讲已经不只是一个爱好，而是成了他生命的寄托。三个人的友谊也在交往中不断深化，并彻底改变了他们的生活。,,,,,,,,,,,,,
方形,393000,1811,11000,294,3704,喜剧,暂无评分,评分人数不足,145,0,14,简介：克里斯蒂安和妻子离婚后，带着小女儿开始了全新的生活。克里斯蒂安在一间艺术馆里担任策展人的职位，最近，他正在筹划一项名为“方形”的装置展览，希望宣扬一种人人平等互助的积极向上的理念。一场意外中，克里斯蒂安的手机被偷了，通过GPS定位，克里斯蒂安找到了偷手机的小偷所居住的公寓，深夜里，克里斯蒂安向该大楼的每一户居民家的门缝里塞进了一张指控书，哪知道这不经思考的举动，为他惹出了大麻烦。为了宣传展览，克里斯蒂安找来了传媒公关公司的代理人，哪知道这两个不靠谱的男人，很快就将这个展览搅成了一锅粥。祸不单行，克里斯蒂...,,,,,,,,,,,,,
A3!满开剧团,3279000,42000,316000,15000,41000,游戏改偶像音乐,9.4,1589,已完结, 全12话,7,551,简介：东京郊外的街道——天鹅绒町，这里有着被剧团成员们称之为天鹅绒之路的圣地。身为原舞台演员、因一纸来信而站在此地的你，将会遇到的是……负债累累！没有客人！团员只有一位！失去过去辉煌即将倒闭的落魄剧团！因机缘巧合，你成为了剧团的团长兼【总监督】，身负把剧团重整起来的重任？,,,,,,,,,,,,
BanG Dream! 梦想协奏曲 第三季,6118000,129000,797000,46000,71000,原创校园音乐,9.8,7171,已完结, 全13话,33,2391,简介：少女香澄一直寻找着幼年时在欣赏星空时所感受到的那股星之鼓动……直至高中入学后不久，香澄在古物商仓库中偶然看见了一把星型吉他、她心中那股封闭已久的情感就此流露而出。以此为契机、香澄与4位同样在寻找光辉之所的女孩们相遇，一同演奏出了单凭一人无法表现出的音乐，共同朝着梦想迈进！,,,,,,,,,,,,
峡谷重案组 第四季,21413000,169000,507000,24000,60000,游戏改热血奇幻搞笑,7.3,1596,已完结, 全12话,6,406,简介：狄仁杰、李元芳、杨戬、扁鹊四人受女帝所托，成立峡谷重案组维护王者峡谷的秩序，但是诡谲的案件接连不断，李元芳和杨戬甚至无辜受到暴君的攻击直至昏迷。真相看似毫无遮掩实则扑朔迷离。李元芳与杨戬平安醒来，重案组似乎回到了平稳的日常。但峡谷里暗流汹涌未曾停歇，黑幕仍未分明。敌暗我明，狄仁杰要如何带领众人破局？,,,,,,,,,,,,
异度侵入 ID:INVADED,120000000,1544000,4853000,1078000,547000,原创科幻推理,9.8,301290,已完结, 全13话,1012,109466,简介：本片讲述利用能检测出人们杀意的装置以及利用思想粒子做出的“井”，来探知事件真相的科幻故事。,,,,,,,,,,,,
思维覆写,12472000,142000,700000,50000,56000,漫画改奇幻,9.6,14152,已完结, 全13话,73,5253,简介：一群有着思维覆写能力的少年被当作超能力者被某公司管理，被分配工作，由于亦正亦邪，人们将他们称为“PET”。他们的力量强大，但同时也会迷茫，为了保持内心，他们……,,,,,,,,,,,,
处子之山,438000,7857,33000,3253,7543,剧情,9.7,836,95,10,268,简介：已过不惑之年的单身狗Fúsi 是一个机场搬运工 精通机械却不善言辞 他的生活单调到除了工作就是金属乐，各种模型手办 在家人的鼓动下他尝试去了一个舞蹈班并终于认识了妹子 但害羞怯懦的他最后能走出自己的世界吗？,,,,,,,,,,,,,
某科学的超电磁炮T,210000000,2758000,7964000,2998000,1936000,漫画改战斗科幻校园,9.8,124497,已完结, 全25话,199,33183,简介：有 230 万人口，其中八成人口为学生的「学园都市」，是比其他地区科技更为先进，并从事「超能力开发」的特殊地区。而整座学园都市中仅有七人的等级 5 超能力者之一御坂美琴，由于她的能力与个性使然，因而被卷入了学园都市中所发生的种种事件……,,,,,,,,,,,,
暗黑破坏神在身边。,16299000,188000,883000,59000,82000,漫画改日常搞笑声控,9.2,12465,已完结, 全12话,59,4557,简介：围绕主人公小雪芹和其中二病好友花鸟兜展开的校园喜剧故事：拥有吐槽体质的小雪芹，最怕槽点满满等他吐槽的人，而升为高中生还患有重度中二病的兜，深切盼望着小雪芹的吐槽而想尽办法接近他，这两个人究竟会如何相处呢？以及身边其他个性鲜明的同学们，每天都充实着可爱又爆笑的校园趣事。,,,,,,,,,,,,
爱因斯坦大脑的秘密,565000,1453,15000,885,1890,自然人文,暂无评分,评分人数不足,已完结，共1集,1,13,简介：本纪录片试图揭秘阿尔伯特·爱因斯坦一生取得巨大科学成就的原因。解剖爱因斯坦尸体的医生托马斯·哈维为其天才的秘密偷走了他的大脑。人们也试图从爱因斯坦的工作方式以及私人生活来解密，但均告失败。唯一可得出的结论是，若每个人都像爱因斯坦一样努力，我们都可以成为像他一样的人。,,,,,,,,,,,,,
狗心,126000,129,2690,82,3162,纪实,暂无评分,评分人数不足,75,0,2,简介：68岁女导演劳瑞·安德森以对一只狗的情怀，引申出人生中的许多其他故事，911后时代的恐惧心理，美国政府的全民监听，淹死的弟弟，与母亲的心结，怀念丈夫，生与死......意识流画面，片段式影像，文艺范儿的思绪，灵动的音乐，一部极具个人隐私的抒发。,,,,,,,,,,,,,
快乐时光,116000,233,3274,93,3436,剧情,暂无评分,评分人数不足,76,0,7,简介：此片是一出幽默感人的戏剧，主角是一位前卫的艺术家，也是一位好幻想的父亲，他的家人却对他毫无办法。,,,,,,,,,,,,,
