电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,,,,,,,,,,,,,
猴子：奇妙的动物家族,120000,794,2320,171,1632,自然动物,暂无评分,评分人数不足,已完结, 全3集,0,2,简介：5500万年前，一种陌生的生物出现在了高高的树梢上。随着这个神秘生物在树梢上跳出第一步，灵长类动物家族诞生了——我们的家族。我们的灵长类族谱上有四百多个成员的名字：长臂猿、眼镜猴、蜘蛛猴、黑猩猩、吼猴、狒狒、狐猴、猕猴……人类出现之前，我们这些小小的近亲各出奇招，适应不断变化的环境：长臂猿有修长的手臂；眼镜猴有大大的眼睛；狒狒生活在最复杂的社会群体里；还有猴子学会了开牡蛎、砸坚果……,,,,,,,,,,,,
养蜂大冒险,769000,387,3764,329,2876,自然动物,暂无评分,评分人数不足,已完结，共1集,0,6,简介：聪明的蜜蜂以错综复杂的社会系统令自古以来的无数科学家、艺术家和哲学家们着迷。然而，它们酿出的蜂蜜也同样令人着迷。玛莎·科尔尼在业余时间是名养蜂人，今年她将首次尝试让蜜蜂酿出野花蜜，与此同时，她将进一步了解和养蜂有关的知识文化。蜜蜂与宗教有着怎样的渊源。要如何解决杀死蜜蜂的大敌——蜜蜂羽翼畸形病毒，又该如何应对夏季里让养蜂人们喜忧参半的分蜂问题。相信在看完节目后，你会对这些不可思议的小家伙们有更多的了解。,,,,,,,,,,,,,
上学第一天,1241000,2682,24000,1681,8426,社会,暂无评分,评分人数不足,已完结，共1集,0,30,简介：英国是全世界学龄最低的国家之一。只要年满四岁，孩子就要进学校开始接受教育。要这些乳臭未干的宝宝们突然间离开父母温暖的怀抱，每天在学校里乖乖待上六个小时，他们真的能适应吗？父母们真的放心吗？老师们该怎么做才能安抚孩子们的情绪，让他们不再想家，快乐地投入到集体生活中去呢？虽然年纪小，但每个孩子都已经开始展露自己的个性，怎样因材施教，把他们培养成懂礼貌、有爱心的人呢？让我们来看看西约克郡一所普通小学开学后的第一周，一大波四岁的萌宝是怎么适应学校生活的。,,,,,,,,,,,,,
奇异生物 第二季,1018000,7059,64000,2415,10000,自然动物,暂无评分,评分人数不足,已完结, 全6集,0,13,简介：从有剧毒盘踞在地球上每个缝隙和角落的生物，到许多在我们周围爬行的小虫和进化得很庞大的巨型虫，再到瘦长的四肢、恐怖的爪子和疯狂的冠饰的解剖构造的疯狂，本系列带我们欣赏感受全世界最奇异最不可思议的生物。从海洋到陆地，再到热带雨林的最深处，人迹罕至之处。它们各自掌握着生存的艺术，它们是伏击大师，它们是隐形的高手，它们精通欺骗艺术。它们拥有最非凡的进化适应之一。让我们来看看它们究竟如何令我们惊奇。,,,,,,,,,,,,
野性风标 第二季,231000,1,1819,223,1727,动物自然,暂无评分,评分人数不足,已完结, 全6集,0,0,简介：非洲大陆上，有许多极具代表性的野生动植物，也有为数不少的籍籍无名的生物。本季中，我们带领大家近距离接触的一些生物，既为人熟知，却仍有许多疑团未解开。它们包括“草原清道夫”兀鹫、各种神奇蛙类、陆生巨兽大象等等。经历漫长的进化，地球生命间的联系交织成一张巨大而繁复的关系网，所有动植物都受这生命之网所主宰，它们之间有松散合作，也有紧密配合；有单方受益，也有互利互惠……人类自然也生活在这生命之网中，尤其近代文明建立后，人类活动对野生动植物影响巨大。许多动植物都濒临灭绝，而它们的未来就把握在我们手中。,,,,,,,,,,,,
揭秘伦敦地铁：走进地下,1354000,5273,17000,1652,5812,人文历史社会,9.7,100,已完结, 全4集,0,20,简介：伦敦是地铁的发源地。在开通了一百多年后，伦敦地铁错综复杂的线路中，古老的隧道与现代化的车站交织在繁忙的伦敦街道之下。虽然乘客们早已习以为常，但地铁中蕴藏的历史可谓波澜壮阔。从第一辆蒸汽火车鸣笛，到穿越泰晤士河，到空袭时成为防空洞，地铁的发展史便是城市的发展史，记载着人类创造的奇迹，价值的取向，金钱的诱惑，以及灾难来临时的勇敢。本片将在罗布·贝尔的带领下，采访在地铁上工作的人们，回顾伦敦地铁的历史，并揭示现代地铁的智慧所在。,,,,,,,,,,,,
动物园的秘密生活 第三季,147000,2168,9924,482,1915,动物自然社会,暂无评分,评分人数不足,已完结, 全7集,0,1,简介：切斯特动物园是英国最有名的动物园，这里生活着亚洲象、黑猩猩、水懒、猎豹、霍加皮等来自世界各地的上千种动物，其中大多数都属于世界濒危物种，这里的饲养员与动物有着朋友般的亲密关系，他们为保护这些濒危物种做出了重要贡献。本系列纪录片通过安装在切斯特动物园内的隐秘摄像机，从动物的恋爱、进食、分娩等众多角度揭示出动物们引人入胜而又颇为有趣的秘密生活。,,,,,,,,,,,,
与猴群共同生活的日子,16000,51,292,43,1149,动物自然,暂无评分,评分人数不足,已完结，共1集,0,0,简介：在斯里兰卡的丛林深处生活着 一群特别的猴子，它们住在神圣的寺庙遗迹中，每日享受着自由自在的生活。比起其他种类的猴子，经验丰富的沃尔夫冈·迪图斯博士更加了解这里的斯里兰卡猕猴，比如它们的雄性头领多米，强壮高大，生有锋利獠牙；比如雌性中的小可怜保平，多灾多难，保守欺凌。这里出生的猴子都有自己的名字，这也多亏了沃尔夫冈，毕竟他已经研究了它们近五十年，一直跟进着这个族群的每日生活。,,,,,,,,,,,,,
哈罗公学: 一座真正的英国学校,3999000,20000,83000,4756,14000,人文社会,9.8,311,已完结, 全8集,1,75,简介：“哈罗：一所英伦名校” 是由BBC出品的8集纪录片。哈罗学校位于伦敦，拥有400多年历史，培养出包括丘吉尔在内的众多名人，是闻名世界的英伦名校。该纪录片全方位记录了哈罗的12栋宿舍之一——西阿克里宿舍的66名学生及其宿管马丁·史密斯整整一学年的校园生活。该系列从学生、宿管、老师、校长等多个视角，详细记录哈罗学校的课业考试、音乐比赛、话剧比赛、联合军演、宿舍生活等，生动刻画并全面捕捉了哈罗的名校风采。,,,,,,,,,,,,
“杀死”老妈的50种方法 第三季,8248000,1238,36000,1731,9240,社会,暂无评分,评分人数不足,已完结, 全6集,0,17,简介：一位41岁叫巴兹的儿子，过去两年一直试图杀死他的妈妈，但却未能如愿的。这一次，巴兹将带他的妈妈们去到世界各地，用尽各种残酷的方法来杀死他的妈妈们。从迪拜到美国加拿大再到亚马逊丛林和神奇的非洲大陆。巴兹用尽各种办法，妈妈们接受了一个又一个难以想象的挑战。从儿童高空滑水道上滑下到潜入充满鲨鱼的水池中再到悬在1800英尺的多伦多高塔边缘再到在充满危险遍布食人鱼的亚马逊丛林度过一天一夜，巴兹的妈妈们经历了非比寻常的考验。但最终她们会让巴兹如意吗？我们拭目以待。,,,,,,,,,,,,
惊险降落事件,3775000,2049,10000,1734,7502,社会灾难,暂无评分,评分人数不足,已完结，共1集,0,5,简介：每一天，八万架飞机在空中穿梭，世界各地有一千万人乘坐飞机出行。尽管技术愈发成熟先进，飞行日趋安全，紧急事故还是在所难免。本片细数前几年内最惊险的十大降落事件，利用电脑技术高度还原飞行员和乘客如何在关键时刻死里逃生，探讨导致事故的原因，其中既有人力尚不能控制的地形、天气原因，也有人为疏忽错误的原因。虽然这些迫降事件都很可怕，所幸全员生还，无人死亡。,,,,,,,,,,,,,
非洲动物世界,707000,4813,12000,854,3196,动物自然,暂无评分,评分人数不足,已完结, 全4集,0,11,简介：非洲，一个神奇的国度，居住着地球上最古老的生物。在这里，每天都上演着捕食者与猎物的生死时速竞赛，弱肉强食就是唯一的生存法则。从锋利的爪牙，到完美的身体构造，大自然给这些食肉动物配备了最合适它们的武器：天生带有致命毒液的蛇科动物、身型巨大的大白鲨、善于伪装的爬行动物和肌肉强健的猎豹，它们虽然是最顶级的捕猎者，但它们并不像人类想象中如此恐怖。处于食物链最顶端的人类应该更多地接触大自然，了解这些动物，与这些捕猎者和谐相处，共享地球。,,,,,,,,,,,,
防御小行星任务,177000,239,2010,157,2077,宇宙科技,暂无评分,评分人数不足,已完结，共1集,0,3,简介：《防御小行星任务》是讲述我们人类生活的地球，面临着宇宙中小行星的威胁，美国宇航局探索、研究并防御小行星任务的一部纪录片。,,,,,,,,,,,,,
荒野季节 第一季,500000,376,3671,234,2028,自然动物,暂无评分,评分人数不足,已完结, 全2集,0,0,简介：佛罗里达州南部，来自奥基乔比湖的淡水河缓缓流过广袤的平原，造就了独一无二的大沼泽地。这里有广阔的沼泽地，繁密的红树林，以及各种各样的野生生物。在大沼泽地生活的生物们都要面对气候的考验：旱季和雨季。荒野季节，带你走进大沼泽地，看短吻鳄、苍鹭、海牛、缅甸蟒如何度过干燥寒冷的漫长冬季，如何在潮湿炎热的雨季繁衍生息。,,,,,,,,,,,,
地震追踪,766000,1189,12000,884,1698,社会灾难科技,暂无评分,评分人数不足,已完结，共1集,0,23,简介：1906年洛杉矶大地震后，地震学这门新学科兴起。本集纪录片追溯这门学科曲折的发展历程，以意大利为中心，介绍近几年的大地震事故以及科学家的相关研究和进展。时至今日，尽管科技已有长足发展，科学家对地震的了解尚不充分，无法准确预测这一神秘力量将何时出击。,,,,,,,,,,,,,
阿滕伯勒的蚂蚁山,320000,1828,8139,982,4119,动物自然,暂无评分,评分人数不足,已完结，共1集,0,14,简介：位于法国和瑞典之间的侏罗山脉遍布着许多木蚂蚁的殖民地，冬季过去后，木蚂蚁们逐渐苏醒，它们各司其职，构成了最复杂的社会分工合作系统，它们在一个殖民地中毫无关系的蚂蚁之间的这种合作，似乎正在重写昆虫进化的规则。蚁后负责整个家族的繁衍生息，工蚁负责食物的运输，供暖还有守卫领地。蚂蚁们不仅分工明确，而且具有创造性，蚂蚁将来自身体的酸与树脂结合，因此蚂蚁产生非常有效的抗生素，这是科学上已知的最复杂的动物药理学之一。合作是我们征服地球这么多地方的主要原因之一，和平也是这座蚂蚁山的和平共处的关键。,,,,,,,,,,,,,
艺术秀,84000,299,15000,962,853,人文,暂无评分,评分人数不足,已完结, 全8集,0,0,简介：艺术秀是一个介绍世界各地各个时期优秀艺术作品的节目，由主持人琼·萨尔蓬、嘉莉·斯科特、查明·贝克、威尔·贝斯特，还有常驻嘉宾—— 艺术专家凯特·布莱恩分别前往世界各地，包括中国、日本、欧洲、印度、孟买等地，探索不同的艺术流派（概念艺术、波普艺术、现代艺术、超现实主义艺术、行为艺术等），参观各地的优秀艺术作品，在艺术的角度探索各地的文化。主持人还采访了众多国际知名艺术家，倾听艺术家本人对艺术作品的看法，为大众揭开艺术的神秘面纱、进一步了解艺术。,,,,,,,,,,,,
但是还有书籍,22253000,122000,1843000,197000,261000,人文,9.8,12159,已完结, 全5集,56,3133,简介：纪录片《但是还有书籍》由哔哩哔哩和北京小河文化传媒有限公司联合出品，该系列共有五集，每集25-30分钟。《但是还有书籍》以书为题材，力图在阅读多样化、碎片化的当下，记录这个时代形形色色的爱书之人，捕捉和书有关的那些精彩故事。希望以新鲜有趣的视角和故事，点燃观众对于书的热爱，为人们提供一份在快时代里的阅读指南。,,,,,,,,,,,,
金光御九界之战血天道,9607000,488000,458000,90000,41000,布袋戏奇幻战斗,8.7,7218,已完结, 全32话,67,2381,简介：道域乱，阴阳转，天元年，刀剑争，血神降，魁星殃，战云起，烽烟临。随着中苗局势回稳，远方的道域却是暗流频生。天元抡魁重启，选拔新任神君，仙舞、神啸、紫微、阴阳，四宗争相勾斗。笼罩在血神复生的阴影之下，更有意图颠覆道域的地下组织与私刑罚恶的神秘人物蠢蠢欲动。重回故乡的风逍遥与莫离骚，将面临何种考验？,,,,,,,,,,,,
建造梦想,115000,750,4618,816,3445,人文,暂无评分,评分人数不足,已完结, 全19集,0,5,简介：《建造梦想》这一系列节目讲的是，帮助那些没有足够预算或者是有自己对家有独特见解的人们建造属于他们自己的温馨的家。主持人每期都会帮助一对夫妻，帮助他们在建造他们家的同时，了解他们自己想要的一切。在每一期里面，主持人在帮助嘉宾在找寻自己所爱所想的房子的时候，也让我们对装修知识有一定的认识，更让我们对自己以后憧憬向往的生活产生了一定的想法。走进这一季的《建造梦想》，感受不一样的建筑风格，给人带来的不一样的观感体验。,,,,,,,,,,,,
重返人间,196000,514,7456,308,2934,人文,暂无评分,评分人数不足,已完结，共1集,0,4,简介：在车祸中撞断了颈椎的泰勒·布里顿被送往神经医学重症监护室接受治疗。他的父母、妻子、友人回忆他此前的人生：他是一个调皮捣蛋的儿子，一个和妻子总有矛盾又总能和解的丈夫，一个花很多时间陪女儿玩的父亲，一个重情重义的朋友。医生和家属沟通让对方了解病人情况和可能采用的治疗方案。在他们的悉心照顾和殷切呼唤下，泰勒从不得不依赖呼吸机维持生存的状态中慢慢康复。他在四肢还没有完全恢复知觉的时候见到了刚出生的小女儿。,,,,,,,,,,,,,
我们的生活之梦游者 - 夜晚的秘密,22000,145,999,37,1199,人文,暂无评分,评分人数不足,已完结，共1集,0,2,简介：我们都需要睡个好觉，事实上我们中的大多数人一生中有二十年的时间都在床上度过。但有些人在睡觉时做的事相当特别，一个九岁的女孩在睡觉时和不存在的朋友谈天说地，会让你觉得不可思议；有的人会在夜晚冲进厨房，悠然地吃完一整顿大餐却在第二天毫无印象；如果你的伴侣在熟睡中抓破你的皮肤，扯掉你的衣服，并试图和你发生性行为的时候，你又如何作解；而最为奇妙的是一位男子声称自己可以在睡觉时作画，而且每幅画的风格迥异。本片将会进入四个人的睡眠世界，去看看他们神奇且让人困扰的夜间行为背后，究竟隐藏着什么。他们就是梦游者。,,,,,,,,,,,,,
星球奥秘 第四季,49000,78,27000,217,194,宇宙,暂无评分,评分人数不足,已完结, 全7集,0,1,简介：高清纪录片星球奥秘系列包括：星球奥秘之我们的大气层 、星球奥秘之落基山脉、星球奥秘之土星的秘密、星球奥秘之致命湖泊、星球奥秘之石器时代启示录、星球奥秘之重新发现冥王星、星球奥秘之冰川融化、星球奥秘之火星水世界、星球奥秘之小行星警报、星球奥秘之谁发现了美洲。,,,,,,,,,,,,
科技新玩意 第24季,54000,108,7610,876,1049,科技,暂无评分,评分人数不足,已完结, 全24集,0,0,简介：《科技新玩意 第24季》聚焦最新消费性科技产品。由于其介绍的产品与日常生活密切相关而始终经久不衰。本季介绍的产品有：蛋糕烘焙、VR特别篇上、摄影与HDR电视、咖啡科技、安全上网与娱乐、园艺挑战赛、时尚穿戴设备等。,,,,,,,,,,,,
第一次的桃色幸运草,25000,382,539,218,1964,人文社会,暂无评分,评分人数不足,已完结，共1集,0,5,简介：“用成对的少女来传递幸运”，怀着这个信念组成了次时代的新人组合——桃色幸运草。成团、出道、演出、发片，这条路上有人到来、有人离开，也有人一直都在。“我们是能够马上见面的偶像，周末女主角，桃色幸运草Z”，然后故事开始了。,,,,,,,,,,,,,
亚洲皇家盛宴,42000,139,2495,64,90,历史,暂无评分,评分人数不足,已完结, 全2集,0,0,简介：体验国王们古时候吃的皇家盛宴，聆听那些在皇宫御厨里和宴会桌上才能找到的故事，一些深植在每个国王和他的子民的独特皇家宴里的故事。,,,,,,,,,,,,
黄豆的故事,35000,140,1523,40,129,美食社会,暂无评分,评分人数不足,已完结，共1集,0,1,简介：黄豆几千年来养活了几十亿人，从加强骨骼的力量，到舒解更年期症状、预防乳癌和降低胆固醇，这种神奇豆子背后有什么秘诀呢？一起走进《黄豆的故事》。,,,,,,,,,,,,,
世界上最大的铁路模型,761000,858,6073,514,2725,社会,暂无评分,评分人数不足,已完结, 全5集,0,11,简介：一百五十多年前，维多利亚时期的英国人建造了令世人称羡的铁路系统。但由于苏格兰高地的地形险峻，铁路网并没有成功修到这里。现在，为向他们致敬，一群铁路模型爱好者们将要用模型达成维多利亚时期的英国人做不到的事，他们要打造一条铁路穿过苏格兰大峡谷。铁路从威廉堡开始，一路修到因弗内斯。全长110多公里的铁路对火车模型来说，相当于半条西伯利亚大铁路。一路上会有重重难关，队员们必须想出一个又一个奇妙的工程方案来解决。他们能否完成这次限时两周的任务呢？就让我们拭目以待吧！,,,,,,,,,,,,
海峡,139000,175,3635,220,1639,自然,暂无评分,评分人数不足,已完结, 全4集,0,2,简介：英吉利海峡，全球最忙碌的水路。从英国到法国只有33.8公里，但这是定义我们的距离。“英国边境就在这儿，我想这就是分界的地方。”我们购买的东西越来越多地来自国外，这条狭窄海峡几乎被推进到极限了。“如果我们不运营电车，下周可能就没有莴苣。”每年都要运输更多货车、更多公交、更多汽车。拍摄了一个多夏天英国政客讨论我们单干的决定……本系列会走进海峡隐藏的神经中枢，来揭示这个系统从上到下的运行方式。数千人日夜奋战，让海峡畅通。,,,,,,,,,,,,
丘吉尔的秘密武器实验室,1274000,1913,21000,1376,4456,历史人文,暂无评分,评分人数不足,已完结，共1集,0,28,简介：在英国最黑暗的时代，温斯顿·丘吉尔组织了一批独特的发明家，成立了一个高度机密的战争实验室。也有人形象地称之为“丘吉尔的玩具店”。 丘吉尔深信科学技术能够在战争中发挥巨大作用。他鼓励科学家大胆设想和尝试，哪怕是一些听起来荒谬可笑的想法。,,,,,,,,,,,,,
气候挑战,30000,114,2681,151,1164,自然,暂无评分,评分人数不足,已完结, 全3集,0,0,简介：全球变暖已经从数年前的“可能”变成了“现实”，甚至在世界上一些国家和地区的部分人群，已经感受到气候变化带来的负面影响。在本期节目中，气候学家席万·戴维斯教授将带领我们前往6个已经受到影响的国家和地区，分别是：格陵兰岛、马尔代夫、加利福尼亚、乌干达、哥斯达黎加和挪威。这些国家和地区虽然有贫富差距和地理差异，可这些地方的人们都面临着相同的问题，而且都必须想办法采取措施，保护他们的可持续未来……,,,,,,,,,,,,
为俄罗斯起舞,50000,86,2680,108,1444,人文,暂无评分,评分人数不足,已完结，共1集,0,1,简介：在俄罗斯人民的心中，莫斯科大剧院的地位不亚于克林姆林宫，后者是政治中心，而前者是艺术心脏。在浩瀚的历史长河中，莫斯科大剧院芭蕾舞团经历了在与世界隔离中创作，到拥有自己独一无二的舞蹈风格，建立起其独特严谨的教学系统，享誉全球。剧院也曾出现因追求戏剧淡化舞蹈而遭遇的坎坷，但其严谨的艺术创作原则、高超精湛的技巧、热情洋溢的风格，始终是世界芭蕾舞中璀璨的明星。我们将会深入莫斯科大剧院的后台和波修瓦舞蹈学院，一窥闻名世界的莫斯科大剧院舞团的舞者们是如何进行训练，如何一步一步走向舞台，走向世界。,,,,,,,,,,,,,
帝国的终结,618000,4262,36000,1223,4690,历史人文,暂无评分,评分人数不足,已完结, 全4集,0,10,简介：自古以来，王朝更迭与帝国兴衰就是常事，但许多强大的帝国的衰落都是从内部斗争开始的，其中最为致命的便是皇室家族内部的斗争。在纪录片“帝国的终结”里，我们将见证四个伟大帝国的兴起与衰败。它们的创建者:伊斯兰之剑帖木儿，英格兰全境之王埃德加，匈奴王阿提拉以及欧洲之父查理曼大帝凭借个人的领袖魅力与卓越才能建立了伟大的帝国。而在他们去世后，残酷的家族内部斗争却让帝国四分五裂。曾经庞大的帝国，为何落到此般地步？就让我们踏上这次史诗之旅，一探究竟吧。,,,,,,,,,,,,
不可思议的人体能力,1058000,928,17000,623,2136,科技,暂无评分,评分人数不足,已完结, 全6集,0,8,简介：我们会遇见地球上一些最为惊人的男性、女性和小孩，人们将自己的身体和意志推到了可能的极限。通过他们，我们将探索是什么让这些人做到别人做不到的事。是生理还是心理，或是两者的结合。欢迎来到不可思议的人体能力。这里有五种感觉，视觉、听觉、嗅觉、味觉和触觉，是我们通向世界和他人的大门。有600块肌肉，对于健康不可或缺。我们将探索身体是怎样随着时间改变。我们会看到从史前时代开始，我们惊人的适应能力。我们将关注身体的总指挥，大脑。我们还将探索在不使用任何药物的情况下，帮助我们保持健康的实践和想法。,,,,,,,,,,,,
徒步高加索,234000,6414,21000,556,2091,探险,暂无评分,评分人数不足,已完结, 全5集,0,18,简介：英国探险家利维森·伍德在走过尼罗河，登上喜马拉雅山后又开始了新一轮的挑战，这一回他将跨越从俄罗斯一直延伸至伊朗的高加索山脉，到达目的地里海。在这次的旅程中，利维森将借助各种交通工具完成这次冒险，他将和当地人一起旅行，体验他们的生活。在这段四千多公里的旅程中，他会经过五个国家，走过荒野地区，越过动荡地区，跨过局势紧张的边境。他将结识与众不同却又热情好客的当地人，感受他们的风俗文化。在这场狂野的冒险里，会有怎样意想不到的惊喜呢？就让我们拭目以待吧。,,,,,,,,,,,,
记忆宫殿,182000,400,17000,487,2688,历史人文科技,暂无评分,评分人数不足,已完结，共1集,0,3,简介：我们阅读的方式正在改变。为了展现当代非线性阅读趋势，维多利亚和阿尔伯特博物馆邀请哈瑞伊·昆祖鲁创作《记忆宫殿》，描述一个禁止一切艺术、写作和记忆形式的反乌托邦世界。这个故事不仅用文字表达，还有20位艺术家、插画师、设计师参与其中，将其以个人角度创作出视觉艺术作品，给观众带来独特的视觉体验。,,,,,,,,,,,,,
创造奇迹 第一季,45000,24,3797,79,1301,科技,暂无评分,评分人数不足,已完结, 全3集,0,0,简介：城市艺术项目公司位于澳大利亚的布里斯班。这是20年前开始的家族企业。布里斯班和上海的繁忙车间内，澳大利亚双胞胎丹和马特·杜宾在制作地球上最大的艺术品。他们与客户周旋，与不同艺术家合作，把艺术家们的想法变为现实，制作出大型艺术。《创造奇迹》节目中将展示出这些给城市增添趣味及艺术感的大型作品。,,,,,,,,,,,,
创造奇迹 第二季,98000,14,3797,150,1254,科技,暂无评分,评分人数不足,已完结, 全3集,0,0,简介：20年多前，丹尼尔·杜宾和马修·杜宾两兄弟创建起城市艺术项目(UAP)公司，同时成立设计工作室和制作工厂，与艺术家合作共同促进实现公共艺术品。他们积极找寻不同富有创造力的思想者和领导者，作为一个跨国企业，UAP是全球公认的在公共艺术和建筑设计上的领跑者。他们坚持着创造力、合作力、洞察力和革新力的核心价值，是探索家，是创意者，更是制作者。本系列节目的镜头便带领我们一睹UAP的公共艺术及建筑设计项目，体会世界顶尖的美。,,,,,,,,,,,,
公园生活,62000,193,3853,487,1345,社会,暂无评分,评分人数不足,已完结, 全8集,0,5,简介：英国的国家公园是地球的自然宝库，在这些尚未被城市的灯光和繁华污染的山谷之中，人们与自然和谐相处，互惠共生：农民们用远古的智慧饲养生灵，居民们用双手复兴衰败中的村庄，即使是在荒无人烟的旷野，人们也在变幻莫测的环境中，一边对抗凶猛的大自然，一边将生活的可塑性发挥到极致。他们虽只是历史长河中的一粟，却也是这片土地上必不可少的守护者。本片记录下了这些朴实无华的生活片段，将最震撼人心的自然之美，融入到居民最真切的人生体验之中，美好而动人。,,,,,,,,,,,,
回归大自然,100000,716,6997,218,2506,自然动物,暂无评分,评分人数不足,已完结, 全3集,0,4,简介：在过去的几十年里，欧洲为大规模降低污染所付出的巨大努力，使得一度退化的景观重新恢复了活力，这里的动物栖息地也已经恢复了原貌，人们还对其进行了重建，在这座大陆上曾经消失的翠鸟、红隼、河狸珍惜等珍惜动物也正在大规模回归。让我们走进本系列纪录片，观看这些动物是如何在变幻莫测的天气中繁衍生息。,,,,,,,,,,,,
罗尼的红脖之旅,24000,88,458,202,11000,社会旅行,暂无评分,评分人数不足,已完结, 全10集,0,1,简介：自认红脖罗尼·谢利为了一笔拯救生意的交易离开了美国的家人，去英国追随一辆复古宾利，从小城的中间商变成了国际汽车经销商。自从在英国开始古董车生意后，他一直处于快车道上，经历了很多。他显然掌握了交易的艺术，遇到了几个暴徒可怕的攻击后，以英国方式用僵硬的上臂解决了一场争端；他促成了积极的合作关系，进行了奇怪的危险交易，完成了一些创意驾驶；还和他的爱人度了第二个蜜月，而且发现英国每个人都真的很像休·格兰特…,,,,,,,,,,,,
动物园的秘密生活 第四季,122000,1202,9924,167,1403,动物自然社会,暂无评分,评分人数不足,已完结, 全16集,0,9,简介：切斯特动物园作为英国最大和最热门的动物园之一，接纳了来自全球各地，种类繁多的动物朋友们。小到色彩绚丽的黄蜂、箭毒蛙，大到令人生畏的鹿豚、长颈鹿，怪如吸血鬼蟹，萌如小熊猫，它们都在切斯特动物园里，在管理员们的细心呵护下茁壮成长，延续地球珍贵的基因宝库。动物园的秘密生活第四季将继续带领大家，以前所未有的角度，体验管理员们的日常工作，应对众多的突发事件，体会生命的变化无常，零距离接触动物园里的真实故事，揭开动物们的秘密生活。,,,,,,,,,,,,
泰特漫步,54000,113,4754,301,1361,社会旅行,暂无评分,评分人数不足,已完结, 全6集,0,2,简介：欢迎来到泰特美术馆，一座充满大师级作品的宝库以及英国艺术国家收藏之家。我是盖斯·卡利-海福德，作为一位艺术策展人和文化历史学家，我有幸与国内最为杰出的一些机构合作。但这个系列十分特别有着了解泰特美术馆的独特方式...我将带领你们走进国内最受爱戴的一些风景画的场景。而且不只是我，因为我还会和一些最为杰出的演员们一起。我们会跟随艺术家的脚步，重新发现他们的秘密和充满启发性的风景。其中一些和画家刚离开时一样，其余的则完全不同。坐好了，享受风景吧，或者最好是跟随我的脚步。,,,,,,,,,,,,
马桶秘史,1687000,648,9497,688,2528,人文社会,暂无评分,评分人数不足,已完结，共1集,0,13,简介：每个人都与厕所有着难解难分的亲密关系，怎样处理人体排泄物是人类文明的发展过程中不可避免的问题之一。人类可以通过如厕方式了解自我。我们将开始一段多彩惊奇的厕所历史探索之旅，从文化等多个角度出发，了解厕所的三千年进化历程。我们将为你揭开一段不为人知的马桶秘史。通过这一次探索之旅，我们意识到马桶的重要性，我们可以从不同的马桶类型，更加深入地了解自己。,,,,,,,,,,,,,
来自何方,110000,478,6213,198,1660,社会人文,暂无评分,评分人数不足,已完结, 全4集,0,4,简介：世界以惊人速度改变, 我们消费的90%商品均来自其他国家。上世纪50年代发明的海运货物集装箱，给世界市场带来变革。人们欲望越来越多，胃口难以满意。集装箱船的出现让一切运输成为可能，从椰子油到家具 打火机，我们所能想象的一切。《来自何方》本系列将记录集装箱船运输的各类有趣食品，从橙子，番茄到三文鱼运输，集装箱船在其中发挥着举重若轻的作用。,,,,,,,,,,,
有钱人生,2398000,17000,117000,4274,14000,社会,8.9,154,已完结, 全6集,0,49,简介：所谓贫穷限制了想象力，超级富豪的生活是我们平日里无法想象的。但在”有钱人生”纪录片中，将会有和亿万富翁们息息相关的各行各业人士为我们揭开他们的生活。在这个动辄就是六七位数的世界里，他们有顶尖的玩具，恢弘的宫殿,他们一掷千金，尽享奢华。然而在光鲜外表的背后，他们也有和普通人一样的烦恼，又或是只属于上层阶级的烦恼——钱多到花不完要怎么办？不知道送伴侣什么礼物因为对方已经拥有一切了又该如何？还有无尽的恐惧缠绕着他们。超级富豪们开心吗，也许只有他们自己知道答案。,,,,,,,,,,,
人类消失之后,1631000,17000,115000,8878,8415,人文,9.3,486,已完结，共1集,1,136,简介：人类对地球的影响究竟能有多大？本片通过一个模拟实验，讲述了人类突然从地球上消失后发生的事情。人类将地球上三分之二的河流改变了航道，在各个城市兴建了公路、桥梁、发电站、核反应堆；饲养宠物和家禽家畜；建造了无数摩天大楼和地标性建筑；每年都向空气中排放大量二氧化碳…… 而在人类消失之后，大自然在短短几十年时间内填埋了核废料、用一百多年的时间清除了多余的二氧化碳、两百年内修复了森林以及河流航道、许多地标性建筑损耗殆尽；而动物则适应了新环境，得到了进化。没有人类，地球照样存在；没有地球，人类只能走向灭亡。,,,,,,,,,,,,,
图坦卡蒙：真相揭秘,127000,944,7171,283,3008,历史人文,暂无评分,评分人数不足,已完结，共1集,1,2,简介：自从1922年图坦卡蒙陵墓被发现，就震惊世界，他驾崩时只有19岁。科学家们一直以来都试图揭开他死亡的神秘面纱。通过最先进的科学技术，新推出的理论从新视角解释了他的死因并还原了他的面孔，还发掘了他的家族史。,,,,,,,,,,,,,
