电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
天之限,1950,--,35,1,10,短片,暂无评分,评分人数不足,30,0,0,简介：色弱少年克服障碍飞航模,
结果,5093,7,95,19,53,短片,暂无评分,评分人数不足,17,0,0,简介：作品讲述了水果商贩陈结果在春节遭遇了反复的疫情后，不远千里地寻找果源，艰难经营着水果生意，只为了给子女提供良好教育的感人故事。,
竞选,14000,--,192,23,82,短片,暂无评分,评分人数不足,22,0,0,简介：小青偶然得知其他班竞选团支书一事，但婷婷告诉小青，班主任已经内定给了婷婷。这让小青有些不满，而婷婷也对“被走后门”很不乐意。在小青的推动下，班主任同意了竞选，但两人还是大吵了一架，婷婷再也没有回学校…,
叔叔的Rock一夏！,2779,--,40,27,34,短片,暂无评分,评分人数不足,62,0,0,简介：你绝对没见过的大学生自制旅行音乐真人秀 《叔叔的Rock一夏！》！ 和60岁的机车“少年”奔赴日落，看平均年龄50岁乐队的live现场！“看了想辞职逐梦” “五十岁的热血青春番”！与青春再见面吧～,
日尔脚山的罗德清,2267,3,91,20,57,短片,暂无评分,评分人数不足,13,0,3,简介：在四川省理县的一座高山之上，住着一位失聪的藏族老人。2008年汶川地震后，这座日尔脚高山上就只有他一个人生活，寒来暑往，四季更替，他在自然大山中守护着脚下的热土，直至今日……,
爷爷的冬天,7882,6,116,28,68,短片,暂无评分,评分人数不足,15,0,2,简介：在这个被疫情笼罩着的冬天，爷爷的衰老越发明显，家人也感到无奈与遗憾。然而爷爷唯一不变的是他对家人深沉的爱。,
蓝色沙洲,3994,2,102,2,35,短片,暂无评分,评分人数不足,26,0,0,简介：一位身患绝症的网络女作家正在写作一部关于梦境的小说，孤独和病痛使她窒息。当卫生间的门锁损坏后，一个小偷却“意外”地闯入她的世界，爱情悄然萌发。然而，故事结尾的反转表明，女主依旧只能孤独而终。,
少年“橄”梦,880,--,30,2,7,短片,暂无评分,评分人数不足,14,0,0,简介：本片忠实地记录了主人公沈子鹏（Stevey）在追求体育梦想时的成长故事。一方面，他拥有橄榄球天赋，但家庭经济条件、自身惰性、学习压力等因素阻碍他追梦；另一方面，他在比赛中不慎受伤，这场风波也困扰着他。,
寻找李想,7079,6,115,40,70,短片,暂无评分,评分人数不足,28,0,1,简介：剧组打算拍摄一部关于找寻李想这个人的伪纪录片，不料拍摄过程中疫情爆发，摄制组一行人被迫共处一室，随着解封遥遥无期，每个人都开始怀疑，这个片子到底还能不能拍……,
网络80,2604,1,36,6,28,短片,暂无评分,评分人数不足,4,0,0,简介：看，屏幕的背后。,
腐烂艺术,8743,1,167,3,64,短片,暂无评分,评分人数不足,19,0,0,简介：Edward，一名长期郁郁不得志的年轻艺术家在参加一个艺术联展的前夜终于度过创作危机，完成了一件装置艺术作品，却遭经纪人Marvin的贬损和辱骂，并损毁其作品。,
谑视幻维录,2720,1,56,11,35,短片,暂无评分,评分人数不足,11,0,1,简介：电影里的人物生病了，觉得有人在看着他，有人在看着他吗？电影里的人物生病了，觉得有人在看着他，有人在看着他吗？电影里的人物生病了，觉得自己的每分每秒都曾经历过，他经历过吗？ 如果人生是一部电影，死亡是结束,
开智的公园,4428,10,158,63,89,短片,暂无评分,评分人数不足,16,0,3,简介：卖假奢侈品（a货）的女人冬兰，拍纪录片的摄影和智力障碍小孩朱敏成在春节前夕相遇，摄影师以拍摄a货制作为由进入冬兰的生活，项目却被朱敏成父亲张贴的寻人启事打断，冬兰陷入收养朱敏成为误认为人贩子的两难境地,
兔子凌波微步,2714,--,54,6,14,短片,暂无评分,评分人数不足,9,0,1,简介：以叙事为主的表现手法，穿梭于现实与想象的诗意表达。,
贺公堂,4489,2,78,--,30,短片,暂无评分,评分人数不足,8,0,0,简介：在这个时代的大环境下，有着无数不被人注视的角落，一群人过着与另一群人无关的生活，体会生命，经历生死。他们在自己的世界里演绎着独立的人生。或许我们都是如此。,
嗨海,108000,154,560,36,1151,短片,2.5,331,5,9,201,简介：这是一个人类被人工智能所编织的信息茧房所裹挟的故事。本片以Siri的视角展现了疫情期间一个青年颓废的生活。,
黑洞,6110,1,70,2,22,短片,暂无评分,评分人数不足,6,0,0,简介：消失的东西会去哪里呢？小时候喜欢的玩具，以前养过的宠物，我曾爱过的人们，和关于它们的记忆。以前明明都是存在的，但是现在明明都不在。 消失的东西会去哪里呢？,
日光,5364,2,72,21,51,,暂无评分,评分人数不足,22,0,0,简介：一位独居老人与在城里居住的女儿约定一起为老伴烧纸。白天阳光很好，积雪都开始融化，但太阳落了山后，女儿和孙子便离开了，老人又重新回到一个人的夜晚。日光在白天照的暖洋洋的，温暖却在夜一降临的时候就消散了。,
茕茕白兔,5470,2,113,12,36,短片,暂无评分,评分人数不足,16,0,0,简介：男人曾在学生时代与一个聋人女孩相爱，一次意外女生怀孕了。在女生告知男人自己怀孕后，看到了他的无助和怯懦，便称怀孕只是玩笑。男人心里明白这不是玩笑却没有拆穿，最后女孩独自承担了一切。,
飞回旧梦园,13000,1,40,14,26,短片,暂无评分,评分人数不足,5,0,0,简介：本片通过女孩的独白串联起了她和家人曾经的记忆。她看到了蝴蝶从黑色废墟中飞出来，火焰燃烧着她再也回不去的旧梦园。,
棕色夜晚,2690,2,64,9,31,短片,暂无评分,评分人数不足,15,0,0,简介：一对盲人夫妻因生育问题不断的产生分歧,全盲的丈夫希望半盲的妻子为自己生下一个孩子，可即将全盲的妻子却担心孩子生下来也会失明而且两人根本无力抚养这个孩子，但丈夫却对此一概不知。,
延长冷水江,770,2,16,2,5,短片,暂无评分,评分人数不足,12,0,0,简介：这是一部带有实验气质的短片，来上海打工并合租在一起的王倩雨和项红难以忍受周围环境带来的困顿，本打算等项红拿到薪水后，两人就返乡。然而，台风来临前的雨夜一切却都改变了。,
向南流,3509,9,74,16,59,短片,暂无评分,评分人数不足,14,0,1,简介：叛逆少女清韵被墨守成规的哥哥抓回老家，清韵在大城市里变了模样，红发露骨，哥哥无法接受，他要求清韵留在家乡安稳生活，可清韵压根不服管，想尽一切办法逃离哥哥的安排。,
我可不可以不是你的全部,6319,16,165,29,92,短片,暂无评分,评分人数不足,28,0,0,简介：失去声音的顾秀英，儿子程天枢成为了她生活的全部，是她活下去的一切。可程天枢却越来越叛逆……,
溺水的鱼,3784,--,58,6,24,短片,暂无评分,评分人数不足,15,0,0,简介：小张的养母在一次美人鱼表演中自杀未遂，她留下小张生母的地址，告诉小张他的生母也是一条美人鱼，小张在那里遇到了她的妹妹韩韩，对韩韩产生好奇的让小张尾随了韩韩，却碰巧帮她解了围。,
我爸是网红,21000,16,218,24,113,短片,暂无评分,评分人数不足,11,0,2,简介：17岁的⼥孩贺佳佳回到家，急忙脱下⾐服跑去厕所。在厨房做菜的⽗亲贺洪却不理睬⼥⼉的情绪，数落着前妻安排⼥⼉去出国留学的事宜。⼀⻔之隔的厕所，贺佳佳⼼烦意乱地洗着校服，校服上印着同学们的恶作剧。,
宣纸传统制作技艺,44000,121,1753,178,4446,人文科技社会历史,暂无评分,评分人数不足,已完结, 全3集,1,7,简介：2009年，宣纸传统制作技艺被联合国教科文组织列入“人类非物质文化遗产代表作名录”。一张宣纸究竟是经过多少工匠的手，历经多少个日夜，凝聚多少汗水和智慧而形成的？宣纸作为中国手工纸的代表之一，对中国传统文化艺术的传承有着怎样的意义？这项先辈留给我们的宝贵文化遗产，在当下社会又是如何传承发展的？让我们共同走进安徽宣城泾县这个美丽的皖南小城一探究竟。,
球王马拉多纳的陨落,1146000,213,7538,1112,7543,,暂无评分,评分人数不足,已完结, 全1集,1,10,简介：迭戈·阿曼多·马拉多纳·佛朗哥，1960年生于阿根廷布宜诺斯艾利斯，被称为“世纪球王”、“球场上帝”。这部纪录片讲述了著名球星马拉多纳不为人知的故事，他从一个年轻而极具天赋的足球运动员，发展到沉迷于毒品、酒精和暴饮暴食，最后需要通过“医疗援助”帮助自己戒瘾。马拉多纳作为世界上最受爱戴，同时也最被憎恶的足球运动员，这一背景下的一切对他的身心健康都造成了伤害。这是对马拉多纳一生中服用的药物及其对他身体影响的法医鉴定，也是最终导致他在60岁早逝的原因。本节目将包括一个可用于宣传目的的独家信息，且具有广泛吸引力的事实...,
去星星上,7847,12,226,35,136,,暂无评分,评分人数不足,22,1,1,简介：热爱仰望星空的12岁亚裔女孩星星，住在洛杉矶的单间家庭旅馆，和爸爸一起照顾植物人妈妈。欲望被囚禁在名为母亲的高塔，在学校科学节到来之际，她对母爱有了更为深刻的理解。,
蓝镜,6556,9,183,10,63,,暂无评分,评分人数不足,8,0,1,简介：幽静的水族馆闭馆之际，一个水族管理员在日常清理工作中发现了一个未打开的礼盒。他突然发现一个陌生男孩的身影，两人站在巨大幽蓝的水镜前，开启了心灵对话，彼此陌生，却似曾相识。而这个水族管理员也许正是15年后的那个男孩。,
念城味,203000,135,1856,285,7132,人文旅行美食,暂无评分,评分人数不足,已完结, 全6集,0,6,简介：《念城味》是一档跟着本地朋友逛吃逛吃的美食旅行节目，到了一座城市，本地朋友会带你吃什么，吃哪个店？他们念念不忘的家乡味道是一份最地道的城市美食攻略。,
2022第十四届海峡影视季晚会,8002,3,75,4,124,晚会,暂无评分,评分人数不足,连载中,0,1,简介：海峡影视季始于2009年5月，系海峡论坛重要组成部分。由国家新闻出版广电总局和福建省人民政府联合主办，台湾有关机构参与主办，以“弘扬中华优秀文化，促进两岸影视繁荣”为主题，旨在汇聚两岸影视资源，积极打造两岸影视精品宣传展示平台和影视产业合作洽谈平台，是海峡两岸影视界交流合作的重要活动。,
蛛丝马迹,1797000,109,11000,694,7657,犯罪惊悚剧情,暂无评分,评分人数不足,127,2,23,简介：克恩郡巡警乔狄肯，小名狄克（丹泽尔·华盛顿 饰），被派往洛杉矶进行本该是趟简单明快的证据收集任务。取而代之的是，他被卷入一场缉捕正肆虐该市的连环杀手之行动。领导缉捕的是洛杉矶郡警长吉姆贝克斯特（拉米·马雷克 饰），对狄克的警察直觉大为惊艳，因而私自寻求他的协助。但在两人追踪主要嫌疑人艾伯特史帕玛（杰瑞德·莱托 饰）时，贝克斯特浑然不觉该调查勾起了狄克对过去不愉快的回忆，随之出土的黑暗秘密除了威胁案件调查外，可能牵连更多。,
斗破苍穹 动态漫,328000,1436,189000,323,2268,动态漫玄幻,暂无评分,评分人数不足,已完结, 全26话,1,23,简介：天才少年萧炎曾是万众瞩目的家族希望，却因斗气尽失无法修炼陷入人生低谷。自幼与萧炎定下婚约的纳兰嫣然被加玛帝国超级宗门云岚宗收为弟子，纳兰嫣然不满萧炎现状来到萧家强行退婚，萧炎为维护家族荣耀与她定下三年之约。萧炎拜师药老重拾信心，为尽快提升实力决定外出历练。萧炎告别父亲萧战与青梅竹马萧薰儿，踏上了一段惊险刺激的修行之旅。因自身功法特殊需要吞噬异火进阶，萧炎来到危机重重的塔戈尔沙漠探寻异火线索。,
斗破苍穹 动态漫第三季,986000,3495,189000,706,5604,动态漫玄幻,9.7,114,已完结, 全52话,0,46,简介：萧炎在迦南内院潜心修炼实力稳固提升，萧薰儿相伴不久便被古族强行召回两人再次分离。镇院之宝梵天炼气塔内陨落心炎失控暴动危及全院，关键时刻萧炎以命相搏将其收服。萧炎组建势力重返加玛帝国，一举捣毁云岚宗替萧家平反，药老鼎力相助却被幕后黑手魂殿擒获，萧炎发誓定要报仇雪恨救出恩师。药老逆徒韩枫勾结魂殿屡生事端，萧炎统领迦南师生歼灭韩枫肃清黑角域，彻底了结同门恩怨后萧炎暂别亲友前往中州迎接新的挑战！,
来福好室说唱店,547000,189,15000,398,8136,真人秀,暂无评分,评分人数不足,连载中,无,无,简介：《来福好室说唱店》是由哔哩哔哩出品的一档说唱经营类音乐综艺。新世代第一季说唱歌手与报名新世代第二季的说唱歌手齐聚海边，共同带来精彩的livehouse演出。在限定店联合投资人黄子韬和一位合伙人的带领下，这群才华横溢的说唱歌手将联手打造一个为期两周的说唱演出现场限定店。这是一场别开生面的经营实验，至于结果怎么样，我们一起拭目以待！,
聊斋·席方平,128000,1436,3773,262,5530,,暂无评分,评分人数不足,91,0,16,简介：故事发生在清朝末年，席方平（沙溢 饰）的父亲是清正廉洁的监察御史，却遭到了贪官的诬陷而被斩首。这一幕恰巧被嫉恶如仇的女鬼小谢（席与立 饰）瞧见，小谢决定替席方平的父亲伸冤。在席方平为父亲守灵之夜，小谢现身，把自己的计划告诉了席方平。在小谢的带领下，两人来到了阴曹地府，哪知道这里的阎王判官亦是贪官污吏之流，不仅未能还席方平父亲的清白，还让席方平白白遭了不少的罪。意难平的小谢又不顾自己的安危，带着苟活的席方平勇闯天庭，得到了二郎神的帮助，最终使得席方平的父亲沉冤得雪。在此过程中，小谢和席方平之间也生出了一...,
“字”从遇见你,1899000,4822,53000,4556,42000,人文历史,9.8,242,已完结, 全25集,1,62,简介：节目从最基本的汉字开始，故事化的讲述汉字的造型来源及文化发展，挖掘汉字背后的文化密码，呈现汉字之美，将汉字的形象性、哲理性和艺术性统一表现。,
2022 B站校园十佳歌手大赛,21569000,24000,21000,94000,401000,音乐晚会,9.2,130,已完结, 全1集,0,20,简介：2022《校园十佳歌手大赛》是B站首次举办大型校园歌唱类赛事，前期海选阶段覆盖了全国逾2900所高校，最终12组在校学生脱颖而出，他们将在总决赛舞台为校而战，唱响热爱。更有音乐导师团许嵩、弦子、布瑞吉、唐汉霄倾力加盟，一起见证B站校园十佳歌手冠军登顶夜！,
奥特银河格斗 命运的冲突,6459000,31000,159000,6135,60000,热血战斗科幻少儿,7.3,1515,已完结, 全10话,13,470,简介：尤莉安公主被阿布索留特人掳走后，宇宙警备队与银河救援队一起展开了救援行动，奥特联盟的成员也为了即将到来的大战而努力进行特训。与此同时，新生代的战士们带着新的任务，在宇宙各地搜集恶魔碎片。来自王国的阿布索留特塔尔塔洛斯复活了亡灵基纳，他在策划一场新的阴谋。他向光之国发出了最后的通牒，希望光之国马上投降，不然尤莉安公主将会陷入危险。就在此时，阿斯特拉通过宇宙拳法，终于发现了王国的坐标。救援尤莉安公主的行动迫在眉睫，奥特之父命令救援队立刻前去王国母星拯救尤莉安公主。救援队到达王国母星后遭到了敌人的围堵，而...,
奥特银河格斗 命运的冲突（中配）,2765000,3311,159000,1667,7138,热血战斗科幻少儿,8.7,117,已完结, 全10话,0,37,简介：尤莉安公主被阿布索留特人掳走后，宇宙警备队与银河救援队一起展开了救援行动，奥特联盟的成员也为了即将到来的大战而努力进行特训。与此同时，新生代的战士们带着新的任务，在宇宙各地搜集恶魔碎片。来自王国的阿布索留特塔尔塔洛斯复活了亡灵基纳，他在策划一场新的阴谋。他向光之国发出了最后的通牒，希望光之国马上投降，不然尤莉安公主将会陷入危险。就在此时，阿斯特拉通过宇宙拳法，终于发现了王国的坐标。救援尤莉安公主的行动迫在眉睫，奥特之父命令救援队立刻前去王国母星拯救尤莉安公主。救援队到达王国母星后遭到了敌人的围堵，而...,
少年奇妙游,7486000,23000,57000,129000,218000,晚会,9.9,824,已完结, 全1集,0,346,简介：《少年奇妙游》国风盛典，是网易大话西游携手河南卫视于2022年8月13日重磅推出的首档全影视化拍摄的游戏国风晚会。节目以“影视剧情+文艺节目”相结合的方式呈现，将我国传统的“仁义礼智信”作为节目的五大主要篇章，并致力于深耕中国文化内涵，延续传统文化和创新科技结合的风格，带给观众一场场东方审美的视觉盛宴。节目中讲述了一位青涩淳朴少年，山中历练，下山修行，遍览盛唐美景，拔剑精忠报国，打磨坚毅心志，功成渔村纵歌的唯美恢弘画卷。,
泽西男孩,17000,17,951,27,3006,传记歌舞剧情,暂无评分,评分人数不足,134,0,0,简介：根据同名音乐剧改编，讲述了20世纪60年代四个新泽西州工人阶级出身的男孩追求美国梦的故事，他们在成长和追求梦想的过程中屡遭挫折，友谊经过多次患难与磨练，最终编写了属于他们自己风格的音乐，组成了风靡几代人的四季乐队。,
喀秋莎行动,30000,45,586,50,3052,战争,暂无评分,评分人数不足,97,0,3,简介：本片翻拍自1978版本《特殊使命小分队》。卫国战争期间，为防止代号为“喀秋莎”的速射炮落入敌人之手，一支由亚历山大·叶尔马科夫指挥的小分队紧急组建并投入前线，他们的目标是发现并摧毁"喀秋莎"。,
给我来个小狐狸,11000,2,958,25,1657,小说改萌系治愈泡面,暂无评分,评分人数不足,,无,无,简介：在妖怪的世界里，小狐狸是一个不被注意的家伙，生活单调乏味，直到遇到了那个头圆圆的小和尚馒头。这是一部随意点开任何一集都可以开始观看的暖萌泡面番，有羁绊，有治愈，有暖心故事，有爆笑日常。改编自郭斯特漫画《给我来个小和尚》，一起拥抱毛茸茸。,
哈小浪轻松一刻,38893000,337,4448,1425,85000,日常搞笑,暂无评分,评分人数不足,连载中,无,无,简介：《哈小浪轻松一刻》是以短视频的形式，以哈小浪为主角，记录与他另外的十一个小伙伴在日常生活中的搞笑故事，以脑洞大、情节新颖轻松为人所喜爱。,
去你家吃饭好吗 第二季,72903000,249000,610000,684000,3095000,人文美食,9.5,1207,已完结, 全6集,11,192,简介：《去你家吃饭好吗2》是B站出品的全网首档聚焦故乡人文剧情纪实节目，讲述六个“家宴、家人、家乡故事 ”。主要形式为通过一方嘉宾邀请友人来自己所生活工作的地方吃饭，体验彼此生活、畅聊所思感悟、展现故乡情节和家国情怀。《去你家吃饭好吗2》内容升级，形式更多，维度更广，情感更深，故事更真，用最丰富的视角最多元的手法去呈现——“我和我的家人，我和我的老友，我和我的家宴，我和我的故乡”。,
中华小子,23786000,170000,598000,421000,1021000,热血战斗智斗武侠,9.9,7781,连载中, 每周一、周四10点 更新1集,8,2766,简介：古代中国，中原地区。一个被囚禁了一千年的恐怖恶魔——黑狐王复活了。他率领黑狐帮，为非作歹，肆意妄为。妄图一统中原，并且称霸天下。少林寺方丈三藏经少林祖师指点，寻找一千年前三位少林盖世英雄的转世。因为，只有这三个英雄的转世重聚首，才可以再次制服黑狐王，还天下太平。可当三藏方丈最终找到这三个英雄的转世之后，却惊讶的发现：他们还只是三个小孩子。他们还必须抓紧学习少林功夫才能再次成为打败黑狐王拯救苍生的盖世英雄。,
港梦,955,--,38,6,15,短片,暂无评分,评分人数不足,3,0,0,简介：毕业设计《港梦》，以回忆视角讲述来自宝安县（今深圳）的两兄弟——廖白水与廖胜永的“逃港”故事。大哥胜永为了给弟弟白水创造机会而未能抵港，由此两兄弟分隔港深两岸……,
地下室拍摄始末,3056,1,55,--,13,短片,暂无评分,评分人数不足,7,0,0,简介：一个看起来野心勃勃实则自以为是的学生导演想拍一部展现北京底层生活的短片来作为自己的毕业作业。为了完成拍摄，学生导演请求住在地下室的北漂民工们搬出去以供自己拍摄使用，然而这种自私的做法早已违背创作初心。,
坠入虚空,6727,1,174,18,56,短片,暂无评分,评分人数不足,18,0,0,简介：想逃离眼前混乱生活的小吴，准备坐当晚的飞机与女友一同离开。即将奔赴美好的生活的时候，小吴接到塔哥出事的电话。当他突然想起塔哥留在他家房子的毒品被毫不知情的莎莎带去了机场，一边他得赶在警察到来之找到塔哥,
永恒,4132,--,60,--,8,短片,暂无评分,评分人数不足,17,0,0,简介：玫瑰、诗歌、舞蹈...在最后一次精心策划的约定会面上，女子决定挽回男人。但是在最后一次做爱后，男子醒来却发现不见女子踪影，诡异事件接踵而来，一切到底怎么回事...,
二后生,12000,52,237,794,913,短片,暂无评分,评分人数不足,13,0,10,简介：韩士强是一位巨人症和先天性心脏病患者，从小家境贫寒，在社会爱心人士的帮助下，在北京做了手术，现在已经痊愈。韩士强痊愈后决定回报社会，但无奈经济拮据，还是在好心人的资助下，无偿进村为空巢老人们做饭。,
风吹芫茜,460,3,25,--,2,短片,暂无评分,评分人数不足,31,0,0,简介：此作品完成于2020年，自己的大学毕业作品。此作品想透过04年的非典疫情影响，来展现被那次疫情所影响后的人们的生活。表现出被疫情所影响的人们他们的无助以及迷茫。,
巴蜀棋痴,991,1,38,20,23,短片,暂无评分,评分人数不足,15,0,0,简介：曾为四川棋王的宋志鹏，如今年纪古稀也很难遇上对手，但仍旧痴迷于象棋，常常下棋到深夜。他一生都在下棋，多次与世界前列棋手共事，培养出世界第一女子棋手，却不受家庭理解，他近乎是陷入了对象棋的痴迷中。,
新年快乐,1457,1,35,4,13,短片,暂无评分,评分人数不足,16,0,0,简介：《新年快乐》讲述了年轻警察、曾酒后斗殴的面馆老板和拐卖犯三人之间因误会而引发的故事。年轻的警察在经历了此次案件后，受到了面馆老板一家人故事的触动，重新审视并调整了自己对待家庭的观念。,
十七公里,988,--,36,6,18,短片,暂无评分,评分人数不足,8,0,0,简介：《十七公里》是一部微纪实风格的藏语公益广告，故事根据真实事件改编，讲述了甘孜州木雅藏区的两名供电工历经千辛万苦，两次更换交通工具，最后步行前往十七公里外的荣须卡村抢修电路的故事。,
“镜”观百年,497,--,30,4,10,短片,暂无评分,评分人数不足,8,0,0,简介：“镜”是代表着镜头，是卢爷爷作为抗美援朝战地记者时的武器。卢爷爷为中国复兴事业做出了突出贡献也为眉山市彭山区的慈善事业做出了巨大贡献，我们就想以此片作为一份礼物送给这样一位伟大的老人。,
他和她的它,6723,--,44,--,15,短片,暂无评分,评分人数不足,7,0,0,简介： 从老板与猫咖中的动物们的故事中，萦绕在老板，老板娘与他们可爱的小动物之间的爱中，让大家看到人与宠物之间的情感，与之产生共鸣，呼吁人们亲待小动物，对生命负责。,
粉色烟火,1110,--,42,10,16,短片,暂无评分,评分人数不足,24,0,0,简介：爱好绘画的张玲退休四年才想到“抱团养老”，于是她的别墅里，几个合租的退休老人开始搭伴生活。有人想为老年的爱情画上句号，也有人在对亲人的怀念中难以释怀，消逝的是时间，留住的是生命的温度。,
七月半,3953,10,74,6,31,短片,暂无评分,评分人数不足,16,0,0,简介：15岁突然失去父亲的阿木一直以来都无法接受，在面对死亡时他选择了逃避，三年后的“三年满”习俗上，面对伤疤再一次被揭开，面对村里人谈笑风生并且作为茶余饭后谈资的时候，阿木将三年隐藏的情绪在这一瞬间宣泄出,
春“劫”,1769,1,54,24,44,短片,暂无评分,评分人数不足,6,0,0,简介：2022年的春节，三个异地无法相见却对春节有着相同感受的人共同诉说了自己的故事。(纯手机拍摄),
人之初,7480,12,83,5,25,短片,暂无评分,评分人数不足,14,0,0,简介：本片讲述了一个想买玩具的小孩在一次意外捡到门卫的钱包之后偷偷拿走了一百元，拿钱买了自己最想要的玩具，但在一系列事件的发生后内心的矛盾纠结与自我谴责，他最终选择用自己的方式完成道歉，选择犯错后的成长。,
桃花源记,18000,31,379,42,167,短片,暂无评分,评分人数不足,28,0,1,简介：杜嘉欣的爸妈离婚之后约定，在她中考之前不告诉她实情。大人们假装什么事情都没有发生，还商量着明天要怎么给嘉欣过生日。然而，嘉欣却意外发现了大人们的秘密。于是，她想要约上自己的朋友，在生日当天离家出走……,
南方无落雪,12000,25,138,15,103,短片,暂无评分,评分人数不足,17,0,2,简介：任雪生活在一个传统含蓄的家庭中，随着任雪成长，她逐渐发现家人们不言说下的情绪，以及外婆在病痛折磨时装作坦然的态度，时间的流逝让任雪感到紧迫，她决定用自己的方式表达爱。,
南越别,12000,3,132,2,37,短片,暂无评分,评分人数不足,36,0,0,简介：当身边的人对于他们当初誓言的背叛，他是选择坚守还是放弃？当上一辈的恩怨纠缠与他内心的坚守相互剧烈冲撞，他是否还会是原来的他？当面对“粤剧危机”的迷茫困局，他是面对现实，还是做出改变。,
幼儿园,45000,8,741,80,228,短片,暂无评分,评分人数不足,15,0,0,简介：故事发生在2008年的上海。因为读不起正规的公立幼儿园，外乡人小孩俊俊被送到了一所私人承办的无证幼儿园上学。在这里俊俊遇到了杨老师和刘老师，也遇到了“死对头”曼曼......,
树下,507,--,27,2,8,短片,暂无评分,评分人数不足,16,0,0,简介：家桦的思绪从留学前的一次随父母回乡的旅程开始。不论是生活二十年的广州，还是故里潮州，在不断的回溯中，他被困在乡土记忆和更早期的乡土记忆中间，记忆越发模糊了，但对自己身份的认识却越发清晰。,
春夏秋冬,2253,--,77,19,22,短片,暂无评分,评分人数不足,20,0,0,简介：父亲去世了，留下债台高筑；离家多年的母亲在一个夏日的傍晚重回故居，为的是继续抚养她深爱着儿子崔涵。家里的一切都照旧，但对话之间，母子似乎有一层不可逾越的隔阂。,
夜飚,626,2,19,17,12,短片,暂无评分,评分人数不足,28,0,0,简介：秋收过后，河南小镇。石白水为报答昔日的恩情，帮李浩然去偷回被抢走的东西。偷窃虽然成功，但却给李浩然惹上了杀身之祸。石白水将如何自保，又如何帮李浩然摆脱黑恶势力？宁静的小镇里，传来几声呜咽。,
where to,1521,3,36,4,13,短片,暂无评分,评分人数不足,3,0,0,简介：空心病为主题的毕业设计动画短片,
结,3569,2,31,3,11,短片,暂无评分,评分人数不足,8,0,0,简介：一部介绍传统节日活动的定格动画短片希望大家喜欢。,
白垩纪企划,925,--,29,3,11,短片,暂无评分,评分人数不足,3,0,0,简介：关于恐龙变成化石后进入到不同时期的人类社会后发生的“异变”。,
海底公园,1024,1,34,10,14,短片,暂无评分,评分人数不足,9,0,0,简介：这是一部关于海洋环境保护的公益性动画短片，也是我的个人毕业设计创作。我想通过人类造物对海洋造成的负面影响来呼吁大家重视生存环境的保护，动画中小男孩与水母姑娘的冒险故事中穿插了不少海中的美景，希望人们能,
归元,70000,81,2545,247,1018,短片,暂无评分,评分人数不足,5,0,7,简介：关于一个小小的云团状的生物的冒险故事，小云团在地面世界中游历后回归到原本的位置上，体会到了自己的重要性，不再迷茫，明确了自己在世界中的定位。,
翳珀,5799,1,280,23,92,短片,暂无评分,评分人数不足,5,1,3,简介：研究琥珀的学生，在研究琥珀的过程中，身临其境，仿佛穿越回琥珀形成的时候，将琥珀中的昆虫拟人化，似人非人，情线贯穿。 参观者跟随小科学家的想象之旅，冒险于奇幻的森林、领略自然的风光、见证美好的爱情。,
穴居动物,496,1,23,3,5,短片,暂无评分,评分人数不足,14,0,0,简介：故事背景设定在一个虚构的近未来社会，独居的自由撰稿人阿龙慵懒地面对生活和创作，只有一间会说话的屋子与其作伴。一个陌生来电改变了阿龙的人生，开始思考自己的存在意义......,
大多,20000,8,411,29,153,短片,暂无评分,评分人数不足,4,0,3,简介：作品内核指向人物性格分析，通过自我论,方法论,控制论等。大多数的信息被瓦解成片段。今天的信息通过各种屏幕使我们相视一悦，短暂的快感使得我们缺乏实践的真理。我的作品通过图像的隐喻性表达对外界信息的反思。,
奶牛三部曲,2629,1,30,2,14,短片,暂无评分,评分人数不足,22,0,0,简介：我们今天拥有太多的表达手段，我们想怎么说话就说话，我们使用表情包，我们使用标点符号，我们使用一些手势，我们使用使用晦暗不明的文字搭配。在艺术的范畴里，我们不仅可以用老式的画笔、照相机，我们也用一些高科,
pity party,203000,141,4090,192,1480,短片,暂无评分,评分人数不足,5,0,5,简介：囚禁在独自一人时间里的女孩,扮演一个无所畏孤独的人,
遗落彼岸,6596,--,25,--,7,短片,暂无评分,评分人数不足,5,0,0,简介：未知，寻明日，日日追明日。,
人人,13000,27,155,5,70,短片,暂无评分,评分人数不足,7,0,13,简介：生命的出现便是个体的诞生，继而赋予灵魂、意识等个体所具有的特性。个体与个体之间都会有排斥，也会有融合，在成长的过程中，个体是否开始有独立的特性决定了他的精神世界是否能够自我管控。,
乌鸦与焰火,1170,1,36,2,7,短片,暂无评分,评分人数不足,8,0,0,简介：通过一场虚构的梦境，不同的颠覆感的场景组合，讲述一个小镇青年和被拐的城市少女的心灵救赎故事。想要通过这个短片探讨个人孤独的宿命，灵魂自由和束缚的辩证关系，新生和灭亡，以及对不同地域的文化反思。,
