电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
男生女生黑白配,39000,402,815,47,3742,喜剧爱情,暂无评分,评分人数不足,105,0,6,简介：女儿特丽莎同男友西蒙即将订婚的消息让一贯掌控着家里生杀大权的珀西彻底的懵了，因为他甚至连这个叫做西蒙的准女婿长啥模样都不知道，而当西蒙站在了珀西面前时，珀西简直不敢相信女儿竟然要嫁给到这个弱鸡一样的白小子。面对貌似完美的准女婿，珀西…,
第四阶段,32000,23,647,135,1108,运动,暂无评分,评分人数不足,已完结，共1集,0,2,简介：奥地利Red Bull运动员Travis Rice和伙伴们用滑雪板在全世界探寻水的第四种形态，他们循迹北太平洋环流并展开征途，将滑雪运动推向难以置信的高度。,
即日启程,119000,1617,5111,325,5606,剧情喜剧,8.2,106,96,0,25,简介：在塞浦路斯开餐馆的中年男人老崔（范伟饰）回国跟妻子办离婚，却发现让自己后院起火的罪魁祸首是自己的朋友。老崔得知合伙人要卖掉塞浦路斯的餐馆，情场失意的老崔只想快点回到塞浦路斯挽救自己的事业。不料倒霉的事情并没有完，在老崔前往飞机场的途中，一个醉酒的女孩子小夏忽然拦住了老崔的乘坐的出租车...,
黑之召唤士,41231000,259000,1052000,113000,448000,小说改热血奇幻战斗,9.1,11427,已完结, 全12话,34,3787,简介：“这是第一次呢，竟然让我这个神来当他的手下。”凯尔文醒来后发现自己转生到了异世界。而且，他将异世界向导同时也是那个世界的女神认作了自己的属下。用前世记忆作为交换，得到超高等级的召唤技能与魔法技能的凯尔文，开始了冒险者的生活。因为自身追求强敌的性格和远超新人的战斗数值，瞬间变得引人注目。身披黑色长袍的战斗狂主人公聚集了同伴，变身为最强冒险者，酣畅淋漓的战斗冒险就此拉开帷幕！,
情迷拉斯维加斯 ,40000,153,1016,59,3530,喜剧爱情,暂无评分,评分人数不足,101,0,4,简介：Joy的男友向她提出分手。Jack的父亲解雇了他。两个失意的人，在各自好友的劝说下前往拉斯维加斯度假。灯红酒绿，两个心灵受伤的人敞开了心胸，度过了疯狂而美好的夜晚...,
朦胧的欲望,648000,1573,16000,272,5088,剧情喜剧爱情,暂无评分,评分人数不足,103,0,16,简介：法国绅士马德奥在西班牙乘车回国，在车厢里他遇到了一对母女、一个侏儒以及一个弟弟的朋友。火车发动前，一个女人拎着行李匆匆赶来，马德奥向她泼了一桶冷水，这让众人颇为不解。回到车厢后，马德奥跟其他人讲述自己的遭遇…,
王朝 2（中配版）,16888000,29000,538000,16000,47000,动物自然,9.9,767,已完结, 全6集,0,138,简介：从巴塔哥尼亚冰天雪地的安第斯山脉，到赞比亚广袤无垠的平原，再到乞力马扎罗山山麓的辽阔草原，《王朝II》重磅回归——这部系列片比前作更精彩纷呈，内容一波三折，从新颖的角度为观众展现一群极具魅力的动物不为人知的生活面貌。,
中国节气·谷雨奇遇记,156000,1390,13000,3837,8081,文化,9.8,160,连载中,0,67,简介：由河南广播电视台出品的“中国节气”系列节目《谷雨奇遇记》讲述了一蹶不振的广告人陆雨，因压力过大突患色盲，陷入了信心危机；在一片茶叶的牵引下误入一片奇幻仙境，并遇到了一位神秘又热情的女孩，拍摄现场误入“桃花源”找回了世界的色彩，学会勇敢面对自己，寻找美好生活的奇遇故事。,
地铁惊魂 ,63000,119,1627,72,4484,剧情动作犯罪,暂无评分,评分人数不足,106,0,3,简介：沃特是一名纽约地铁调度员，负责控制各条线路的调配运营。某日，一群恐怖分子劫持了地铁123号线，匪首雷德声言要提供1000万赎金才释放人质，作为高速运输管理局要员，沃特决定用自己替换人质，与劫匪展开了一场惊心动魄的生死搏斗……,
泡泡,8542000,23000,388000,30000,90000,原创奇幻热血,7.4,6335,已完结, 全1话,163,2349,简介：荒木哲郎 × 虚渊玄 × 小畑健世界瞩目，让日本自豪的最强创作者展开合作！在重力已然崩溃的东京，少年与少女的心在互相吸引——因为倾泻于全世界的泡泡，东京的重力崩溃了。失去了供给的东京，被失去家人，无家可归的年轻人们当成了游乐园，他们还在此展开了于建筑之间纵横跳跃的团体跑酷比赛。其中有一个队伍的王牌选手“响”，以其极为危险的动作引人注目，但在某一天，他因为自己那超脱常规的动作而落入了重力紊乱的海中。而一个有着不可思议力量的少女“歌”突然出现，救下了他的性命。只有他们两人，能听到一种特殊的声音……歌为什么会出...,
和歌子酒 第六季,5019000,4710,284000,1812,6672,剧情搞笑,9.7,117,已完结, 全12集,0,23,简介：该部电视连续剧讲述了一位嗜酒如命的26岁OL和歌子在各个地方闲逛的生活。可以说这部连续剧将单身女子和歌子一个人到处愉快喝酒的美食漫画中的情景搬到了现实版的生活中来了。“美味的下酒菜”和“最搭配的美酒”的完美融合的一瞬间，满满的都是幸福。主人公和歌子在不经意间从内心流露出的陶醉感想必会令观众们燃起对美食和美酒的欲望吧。,
至暗时刻,4731000,34000,187000,28000,65000,剧情战争传记历史,9.8,4184,125,12,712,简介：影片讲述英国首相丘吉尔在作为首相期间面临的最重要的审判：是向纳粹妥协做俘虏，还是团结人民群起反抗？丘吉尔将集结整个国家为自由奋战，试图改变世界历史进程，度过黎明前的黑暗。,
模仿游戏,3835000,20000,131000,14000,37000,剧情战争传记,9.7,2754,114,7,339,简介：二战期间，盟军苦于德国的秘密系统”英格玛“无法破译，政府召集了一批民间数学家、逻辑学家进行秘密破解工作，图灵就是其中之一。计划刚开始图灵遭到了以休为首的组员和领导的排斥，幸好军情处部长孟席斯帮助他立项研究…,
异次元骇客,157000,963,25000,278,5238,科幻惊悚悬疑,9.1,103,100,1,18,简介：十三，一个听起来就有些阴冷的数字。在一座大厦的第十三层，科学家道格拉斯•霍尔和汉农•富勒用电脑模拟出一个逼真的1937年的洛杉矶，他们可以通过电脑进入这个虚拟世界，真实地体验1937年的生活与自己。然而一个夜里，富勒…,
猫头鹰王国：守卫者传奇,586000,3665,39000,1601,10000,动作奇幻动画冒险,9.6,430,97,2,92,简介：在茂密宁静的仓鸮森林，猫头鹰诺克图斯和妻儿们生活在一棵参天大树的枝干上。她的儿子索伦无比迷恋“守护者”的传说。据说很久以前，佩戴着钢喙的邪恶“纯种者”国王压迫猫头鹰子民，关键时刻守护者挺身而出，打败了国王及其爪牙，但…,
全民情敌,222000,1660,24000,339,6153,喜剧爱情,9.4,119,118,1,15,简介：希什十分准确的把握了男性的弱点：他们在求爱的时候由于过分迫切想得到对方好感，反而会表现笨拙失去魅力。而希什掌握了一套完整的独家的理论，可以帮助男士在头三次约会时候就成功俘获对方的心，这套谋略全面实用，令约会期间的就餐、牵手、接吻，有了指导细则…,
快乐的大脚 ,824000,3767,39000,825,7330,喜剧爱情动画家庭,9.2,246,108,1,52,简介：在帝企鹅里面，不会唱歌是一件丢人的事情，而玛宝恰恰是这样的企鹅。但是，他格外擅长舞蹈，舞技超群的绝艺却没有带给他幸运，铁面领袖把他赶出了族门。玛宝在外面的世界流浪，却碰上了另一个族群：阿德利企鹅。这群企鹅嗜好跳舞，他们惊叹于玛宝的舞步，邀请他前去舞会狂欢,
快乐的大脚2 ,448000,1994,39000,619,5821,喜剧动画家庭歌舞,9.7,178,102,1,42,简介：曼波将踢踏舞带回南极大陆，帝企鹅家族沉浸在无尽的欢乐中。可是曼波的儿子艾利克完全不擅长歌舞，他在同伴面前出了丑，内心觉得分外沮丧，于是和两个好朋友离开了帝企鹅的地盘。可是此时大地发生震动，温室效应变得愈加明显，冰川融化，积雪消融，南极大陆面临着一场巨大的变动……,
午夜零时吻我,1444000,10000,53000,1708,13000,爱情漫画改,7.4,366,115,1,133,简介：该片讲述了普通女高中生日奈奈认识了来学校拍摄电影的男明星绫濑枫，两人发展出一段“灰姑娘”式的爱情的故事。,
超能查派,875000,4400,42000,1485,12000,动作科幻惊悚,9.0,547,119,2,120,简介：程序员迪恩一直致力于制造出完全的人工智能机器人。直到某天，他的研究取得突破性进展，谁知半路被三名匪徒劫持。在匪徒的威胁下，迪恩将22号写入全新系统。22号以“查派”的名字重生，它的诞生即将改变许多人的命运……,
